depth_m,distance_km,salinity_pss,source_file
0.0,0,9.01,mb_hws_da_20160401.txt
0.5,0,12.323,mb_hws_da_20160401.txt
1.0,0,25.794,mb_hws_da_20160401.txt
1.5,0,27.409,mb_hws_da_20160401.txt
2.0,0,27.545,mb_hws_da_20160401.txt
2.5,0,27.545,mb_hws_da_20160401.txt
3.0,0,27.545,mb_hws_da_20160401.txt
3.5,0,27.545,mb_hws_da_20160401.txt
4.0,0,27.612,mb_hws_da_20160401.txt
4.5,0,27.612,mb_hws_da_20160401.txt
5.0,0,27.612,mb_hws_da_20160401.txt
5.5,0,27.612,mb_hws_da_20160401.txt
6.0,0,27.612,mb_hws_da_20160401.txt
6.5,0,,mb_hws_da_20160401.txt
7.0,0,,mb_hws_da_20160401.txt
0.0,3,8.48,mb_hws_da_20160401.txt
0.5,3,8.555,mb_hws_da_20160401.txt
1.0,3,10.565,mb_hws_da_20160401.txt
1.5,3,19.795,mb_hws_da_20160401.txt
2.0,3,27.072,mb_hws_da_20160401.txt
2.5,3,27.139,mb_hws_da_20160401.txt
3.0,3,27.332,mb_hws_da_20160401.txt
3.5,3,27.4,mb_hws_da_20160401.txt
4.0,3,27.467,mb_hws_da_20160401.txt
4.5,3,27.535,mb_hws_da_20160401.txt
5.0,3,27.467,mb_hws_da_20160401.txt
5.5,3,27.467,mb_hws_da_20160401.txt
6.0,3,,mb_hws_da_20160401.txt
6.5,3,,mb_hws_da_20160401.txt
7.0,3,,mb_hws_da_20160401.txt
0.0,6,5.953,mb_hws_da_20160401.txt
0.5,6,10.242,mb_hws_da_20160401.txt
1.0,6,15.918,mb_hws_da_20160401.txt
1.5,6,20.596,mb_hws_da_20160401.txt
2.0,6,22.209,mb_hws_da_20160401.txt
2.5,6,25.325,mb_hws_da_20160401.txt
3.0,6,27.061,mb_hws_da_20160401.txt
3.5,6,27.197,mb_hws_da_20160401.txt
4.0,6,27.197,mb_hws_da_20160401.txt
4.5,6,27.197,mb_hws_da_20160401.txt
5.0,6,27.197,mb_hws_da_20160401.txt
5.5,6,27.197,mb_hws_da_20160401.txt
6.0,6,,mb_hws_da_20160401.txt
6.5,6,,mb_hws_da_20160401.txt
7.0,6,,mb_hws_da_20160401.txt
0.0,9,6.632,mb_hws_da_20160401.txt
0.5,9,8.732,mb_hws_da_20160401.txt
1.0,9,13.032,mb_hws_da_20160401.txt
1.5,9,18.299,mb_hws_da_20160401.txt
2.0,9,20.077,mb_hws_da_20160401.txt
2.5,9,20.531,mb_hws_da_20160401.txt
3.0,9,21.816,mb_hws_da_20160401.txt
3.5,9,24.777,mb_hws_da_20160401.txt
4.0,9,26.51,mb_hws_da_20160401.txt
4.5,9,26.51,mb_hws_da_20160401.txt
5.0,9,26.51,mb_hws_da_20160401.txt
5.5,9,26.51,mb_hws_da_20160401.txt
6.0,9,,mb_hws_da_20160401.txt
6.5,9,,mb_hws_da_20160401.txt
7.0,9,,mb_hws_da_20160401.txt
0.0,12,5.256,mb_hws_da_20160401.txt
0.5,12,5.328,mb_hws_da_20160401.txt
1.0,12,6.229,mb_hws_da_20160401.txt
1.5,12,7.967,mb_hws_da_20160401.txt
2.0,12,13.708,mb_hws_da_20160401.txt
2.5,12,16.358,mb_hws_da_20160401.txt
3.0,12,17.661,mb_hws_da_20160401.txt
3.5,12,20.466,mb_hws_da_20160401.txt
4.0,12,21.554,mb_hws_da_20160401.txt
4.5,12,24.177,mb_hws_da_20160401.txt
5.0,12,25.044,mb_hws_da_20160401.txt
5.5,12,25.044,mb_hws_da_20160401.txt
6.0,12,,mb_hws_da_20160401.txt
6.5,12,,mb_hws_da_20160401.txt
7.0,12,,mb_hws_da_20160401.txt
0.0,15,3.135,mb_hws_da_20160401.txt
0.5,15,3.159,mb_hws_da_20160401.txt
1.0,15,3.324,mb_hws_da_20160401.txt
1.5,15,6.31,mb_hws_da_20160401.txt
2.0,15,10.403,mb_hws_da_20160401.txt
2.5,15,14.203,mb_hws_da_20160401.txt
3.0,15,16.674,mb_hws_da_20160401.txt
3.5,15,17.878,mb_hws_da_20160401.txt
4.0,15,18.811,mb_hws_da_20160401.txt
4.5,15,20.1,mb_hws_da_20160401.txt
5.0,15,20.488,mb_hws_da_20160401.txt
5.5,15,20.553,mb_hws_da_20160401.txt
6.0,15,20.553,mb_hws_da_20160401.txt
6.5,15,,mb_hws_da_20160401.txt
7.0,15,,mb_hws_da_20160401.txt
0.0,18,2.821,mb_hws_da_20160401.txt
0.5,18,2.891,mb_hws_da_20160401.txt
1.0,18,5.591,mb_hws_da_20160401.txt
1.5,18,6.862,mb_hws_da_20160401.txt
2.0,18,8.445,mb_hws_da_20160401.txt
2.5,18,13.127,mb_hws_da_20160401.txt
3.0,18,16.01,mb_hws_da_20160401.txt
3.5,18,17.243,mb_hws_da_20160401.txt
4.0,18,17.624,mb_hws_da_20160401.txt
4.5,18,17.815,mb_hws_da_20160401.txt
5.0,18,18.452,mb_hws_da_20160401.txt
5.5,18,18.555,mb_hws_da_20160401.txt
6.0,18,18.555,mb_hws_da_20160401.txt
6.5,18,,mb_hws_da_20160401.txt
