depth_m,distance_km,salinity_pss,source_file
0.0,0,,mb_hws_td_2016033131.txt
0.5,0,,mb_hws_td_2016033131.txt
1.0,0,,mb_hws_td_2016033131.txt
1.5,0,,mb_hws_td_2016033131.txt
2.0,0,,mb_hws_td_2016033131.txt
2.5,0,,mb_hws_td_2016033131.txt
3.0,0,,mb_hws_td_2016033131.txt
3.5,0,,mb_hws_td_2016033131.txt
4.0,0,,mb_hws_td_2016033131.txt
4.5,0,,mb_hws_td_2016033131.txt
5.0,0,,mb_hws_td_2016033131.txt
5.5,0,,mb_hws_td_2016033131.txt
6.0,0,,mb_hws_td_2016033131.txt
6.5,0,,mb_hws_td_2016033131.txt
7.0,0,,mb_hws_td_2016033131.txt
0.0,3,14.386,mb_hws_td_2016033131.txt
0.5,3,15.199,mb_hws_td_2016033131.txt
1.0,3,17.735,mb_hws_td_2016033131.txt
1.5,3,18.955,mb_hws_td_2016033131.txt
2.0,3,19.73,mb_hws_td_2016033131.txt
2.5,3,19.73,mb_hws_td_2016033131.txt
3.0,3,19.795,mb_hws_td_2016033131.txt
3.5,3,19.795,mb_hws_td_2016033131.txt
4.0,3,,mb_hws_td_2016033131.txt
4.5,3,,mb_hws_td_2016033131.txt
5.0,3,,mb_hws_td_2016033131.txt
5.5,3,,mb_hws_td_2016033131.txt
6.0,3,,mb_hws_td_2016033131.txt
6.5,3,,mb_hws_td_2016033131.txt
7.0,3,,mb_hws_td_2016033131.txt
0.0,6,12.629,mb_hws_td_2016033131.txt
0.5,6,12.874,mb_hws_td_2016033131.txt
1.0,6,13.024,mb_hws_td_2016033131.txt
1.5,6,13.333,mb_hws_td_2016033131.txt
2.0,6,14.386,mb_hws_td_2016033131.txt
2.5,6,14.76,mb_hws_td_2016033131.txt
3.0,6,17.152,mb_hws_td_2016033131.txt
3.5,6,18.363,mb_hws_td_2016033131.txt
4.0,6,18.363,mb_hws_td_2016033131.txt
4.5,6,,mb_hws_td_2016033131.txt
5.0,6,,mb_hws_td_2016033131.txt
5.5,6,,mb_hws_td_2016033131.txt
6.0,6,,mb_hws_td_2016033131.txt
6.5,6,,mb_hws_td_2016033131.txt
7.0,6,,mb_hws_td_2016033131.txt
0.0,9,12.603,mb_hws_td_2016033131.txt
0.5,9,12.874,mb_hws_td_2016033131.txt
1.0,9,13.024,mb_hws_td_2016033131.txt
1.5,9,13.361,mb_hws_td_2016033131.txt
2.0,9,14.417,mb_hws_td_2016033131.txt
2.5,9,14.791,mb_hws_td_2016033131.txt
3.0,9,17.224,mb_hws_td_2016033131.txt
3.5,9,18.44,mb_hws_td_2016033131.txt
4.0,9,18.44,mb_hws_td_2016033131.txt
4.5,9,,mb_hws_td_2016033131.txt
5.0,9,,mb_hws_td_2016033131.txt
5.5,9,,mb_hws_td_2016033131.txt
6.0,9,,mb_hws_td_2016033131.txt
