depth_m,distance_km,salinity_pss,source_file
0.0,0,11.808,mb_lws_da_2016033131.txt
0.5,0,12.525,mb_lws_da_2016033131.txt
1.0,0,18.58,mb_lws_da_2016033131.txt
1.5,0,22.256,mb_lws_da_2016033131.txt
2.0,0,24.495,mb_lws_da_2016033131.txt
2.5,0,28.197,mb_lws_da_2016033131.txt
3.0,0,28.265,mb_lws_da_2016033131.txt
3.5,0,28.676,mb_lws_da_2016033131.txt
4.0,0,28.881,mb_lws_da_2016033131.txt
4.5,0,29.155,mb_lws_da_2016033131.txt
5.0,0,29.155,mb_lws_da_2016033131.txt
5.5,0,29.155,mb_lws_da_2016033131.txt
6.0,0,29.155,mb_lws_da_2016033131.txt
6.5,0,,mb_lws_da_2016033131.txt
7.0,0,,mb_lws_da_2016033131.txt
0.0,3,8.492,mb_lws_da_2016033131.txt
0.5,3,8.813,mb_lws_da_2016033131.txt
1.0,3,12.15,mb_lws_da_2016033131.txt
1.5,3,16.871,mb_lws_da_2016033131.txt
2.0,3,21.216,mb_lws_da_2016033131.txt
2.5,3,23.163,mb_lws_da_2016033131.txt
3.0,3,25.554,mb_lws_da_2016033131.txt
3.5,3,27.856,mb_lws_da_2016033131.txt
4.0,3,28.129,mb_lws_da_2016033131.txt
4.5,3,28.265,mb_lws_da_2016033131.txt
5.0,3,28.265,mb_lws_da_2016033131.txt
5.5,3,28.265,mb_lws_da_2016033131.txt
6.0,3,,mb_lws_da_2016033131.txt
6.5,3,,mb_lws_da_2016033131.txt
7.0,3,,mb_lws_da_2016033131.txt
0.0,6,6.773,mb_lws_da_2016033131.txt
0.5,6,7.249,mb_lws_da_2016033131.txt
1.0,6,7.294,mb_lws_da_2016033131.txt
1.5,6,8.854,mb_lws_da_2016033131.txt
2.0,6,14.637,mb_lws_da_2016033131.txt
2.5,6,20.661,mb_lws_da_2016033131.txt
3.0,6,22.388,mb_lws_da_2016033131.txt
3.5,6,26.431,mb_lws_da_2016033131.txt
4.0,6,27.993,mb_lws_da_2016033131.txt
4.5,6,27.993,mb_lws_da_2016033131.txt
5.0,6,27.993,mb_lws_da_2016033131.txt
5.5,6,27.993,mb_lws_da_2016033131.txt
6.0,6,,mb_lws_da_2016033131.txt
6.5,6,,mb_lws_da_2016033131.txt
7.0,6,,mb_lws_da_2016033131.txt
0.0,9,4.902,mb_lws_da_2016033131.txt
0.5,9,4.923,mb_lws_da_2016033131.txt
1.0,9,5.202,mb_lws_da_2016033131.txt
1.5,9,7.829,mb_lws_da_2016033131.txt
2.0,9,17.144,mb_lws_da_2016033131.txt
2.5,9,18.452,mb_lws_da_2016033131.txt
3.0,9,18.747,mb_lws_da_2016033131.txt
3.5,9,20.207,mb_lws_da_2016033131.txt
4.0,9,24.059,mb_lws_da_2016033131.txt
4.5,9,26.521,mb_lws_da_2016033131.txt
5.0,9,27.061,mb_lws_da_2016033131.txt
5.5,9,27.061,mb_lws_da_2016033131.txt
6.0,9,,mb_lws_da_2016033131.txt
6.5,9,,mb_lws_da_2016033131.txt
7.0,9,,mb_lws_da_2016033131.txt
0.0,12,4.702,mb_lws_da_2016033131.txt
0.5,12,4.637,mb_lws_da_2016033131.txt
1.0,12,5.395,mb_lws_da_2016033131.txt
1.5,12,8.358,mb_lws_da_2016033131.txt
2.0,12,15.32,mb_lws_da_2016033131.txt
2.5,12,16.73,mb_lws_da_2016033131.txt
3.0,12,16.531,mb_lws_da_2016033131.txt
3.5,12,18.032,mb_lws_da_2016033131.txt
4.0,12,19.373,mb_lws_da_2016033131.txt
4.5,12,22.604,mb_lws_da_2016033131.txt
5.0,12,25.593,mb_lws_da_2016033131.txt
5.5,12,25.593,mb_lws_da_2016033131.txt
6.0,12,,mb_lws_da_2016033131.txt
6.5,12,,mb_lws_da_2016033131.txt
7.0,12,,mb_lws_da_2016033131.txt
0.0,15,4.37,mb_lws_da_2016033131.txt
0.5,15,4.381,mb_lws_da_2016033131.txt
1.0,15,5.942,mb_lws_da_2016033131.txt
1.5,15,6.697,mb_lws_da_2016033131.txt
2.0,15,8.841,mb_lws_da_2016033131.txt
2.5,15,12.646,mb_lws_da_2016033131.txt
3.0,15,14.546,mb_lws_da_2016033131.txt
3.5,15,16.16,mb_lws_da_2016033131.txt
4.0,15,16.661,mb_lws_da_2016033131.txt
4.5,15,17.073,mb_lws_da_2016033131.txt
5.0,15,17.614,mb_lws_da_2016033131.txt
5.5,15,24.223,mb_lws_da_2016033131.txt
6.0,15,23.842,mb_lws_da_2016033131.txt
6.5,15,23.842,mb_lws_da_2016033131.txt
7.0,15,,mb_lws_da_2016033131.txt
0.0,18,4.159,mb_lws_da_2016033131.txt
0.5,18,4.159,mb_lws_da_2016033131.txt
1.0,18,4.348,mb_lws_da_2016033131.txt
1.5,18,6.108,mb_lws_da_2016033131.txt
2.0,18,7.53,mb_lws_da_2016033131.txt
2.5,18,9.23,mb_lws_da_2016033131.txt
3.0,18,11.617,mb_lws_da_2016033131.txt
3.5,18,13.039,mb_lws_da_2016033131.txt
4.0,18,14.144,mb_lws_da_2016033131.txt
4.5,18,15.29,mb_lws_da_2016033131.txt
5.0,18,16.102,mb_lws_da_2016033131.txt
5.5,18,17.714,mb_lws_da_2016033131.txt
6.0,18,18.032,mb_lws_da_2016033131.txt
6.5,18,18.095,mb_lws_da_2016033131.txt
7.0,18,18.095,mb_lws_da_2016033131.txt
0.0,21,4.128,mb_lws_da_2016033131.txt
0.5,21,3.86,mb_lws_da_2016033131.txt
1.0,21,4.269,mb_lws_da_2016033131.txt
1.5,21,5.062,mb_lws_da_2016033131.txt
2.0,21,5.736,mb_lws_da_2016033131.txt
2.5,21,6.335,mb_lws_da_2016033131.txt
3.0,21,7.168,mb_lws_da_2016033131.txt
3.5,21,11.496,mb_lws_da_2016033131.txt
4.0,21,13.713,mb_lws_da_2016033131.txt
4.5,21,14.824,mb_lws_da_2016033131.txt
5.0,21,15.072,mb_lws_da_2016033131.txt
5.5,21,15.196,mb_lws_da_2016033131.txt
6.0,21,15.196,mb_lws_da_2016033131.txt
6.5,21,15.196,mb_lws_da_2016033131.txt
7.0,21,,mb_lws_da_2016033131.txt
0.0,24,3.53,mb_lws_da_2016033131.txt
