depth_m,distance_km,salinity_pss,source_file
0.0,0,16.36,mb_lws_td_20160401.txt
0.5,0,16.455,mb_lws_td_20160401.txt
1.0,0,16.717,mb_lws_td_20160401.txt
1.5,0,17.037,mb_lws_td_20160401.txt
2.0,0,19.97,mb_lws_td_20160401.txt
2.5,0,20.986,mb_lws_td_20160401.txt
3.0,0,21.443,mb_lws_td_20160401.txt
3.5,0,21.855,mb_lws_td_20160401.txt
4.0,0,22.116,mb_lws_td_20160401.txt
4.5,0,22.247,mb_lws_td_20160401.txt
5.0,0,22.247,mb_lws_td_20160401.txt
5.5,0,,mb_lws_td_20160401.txt
6.0,0,,mb_lws_td_20160401.txt
6.5,0,,mb_lws_td_20160401.txt
7.0,0,,mb_lws_td_20160401.txt
0.0,3,14.398,mb_lws_td_20160401.txt
0.5,3,15.317,mb_lws_td_20160401.txt
1.0,3,15.757,mb_lws_td_20160401.txt
1.5,3,16.33,mb_lws_td_20160401.txt
2.0,3,16.582,mb_lws_td_20160401.txt
2.5,3,17.47,mb_lws_td_20160401.txt
3.0,3,18.594,mb_lws_td_20160401.txt
3.5,3,19.753,mb_lws_td_20160401.txt
4.0,3,19.818,mb_lws_td_20160401.txt
4.5,3,19.818,mb_lws_td_20160401.txt
5.0,3,,mb_lws_td_20160401.txt
5.5,3,,mb_lws_td_20160401.txt
6.0,3,,mb_lws_td_20160401.txt
6.5,3,,mb_lws_td_20160401.txt
7.0,3,,mb_lws_td_20160401.txt
0.0,6,14.245,mb_lws_td_20160401.txt
0.5,6,14.274,mb_lws_td_20160401.txt
1.0,6,14.335,mb_lws_td_20160401.txt
1.5,6,14.547,mb_lws_td_20160401.txt
2.0,6,15.229,mb_lws_td_20160401.txt
2.5,6,16.048,mb_lws_td_20160401.txt
3.0,6,18.53,mb_lws_td_20160401.txt
3.5,6,18.979,mb_lws_td_20160401.txt
4.0,6,19.108,mb_lws_td_20160401.txt
4.5,6,19.495,mb_lws_td_20160401.txt
5.0,6,19.624,mb_lws_td_20160401.txt
5.5,6,19.689,mb_lws_td_20160401.txt
6.0,6,19.689,mb_lws_td_20160401.txt
6.5,6,,mb_lws_td_20160401.txt
7.0,6,,mb_lws_td_20160401.txt
0.0,9,12.131,mb_lws_td_20160401.txt
0.5,9,12.156,mb_lws_td_20160401.txt
1.0,9,12.965,mb_lws_td_20160401.txt
1.5,9,13.356,mb_lws_td_20160401.txt
2.0,9,13.807,mb_lws_td_20160401.txt
2.5,9,14.667,mb_lws_td_20160401.txt
3.0,9,16.582,mb_lws_td_20160401.txt
3.5,9,16.835,mb_lws_td_20160401.txt
4.0,9,17.315,mb_lws_td_20160401.txt
4.5,9,17.315,mb_lws_td_20160401.txt
5.0,9,,mb_lws_td_20160401.txt
5.5,9,,mb_lws_td_20160401.txt
6.0,9,,mb_lws_td_20160401.txt
6.5,9,,mb_lws_td_20160401.txt
7.0,9,,mb_lws_td_20160401.txt
0.0,12,10.885,mb_lws_td_20160401.txt
0.5,12,11.03,mb_lws_td_20160401.txt
1.0,12,11.158,mb_lws_td_20160401.txt
1.5,12,11.339,mb_lws_td_20160401.txt
2.0,12,12.577,mb_lws_td_20160401.txt
2.5,12,12.76,mb_lws_td_20160401.txt
3.0,12,14.667,mb_lws_td_20160401.txt
3.5,12,15.416,mb_lws_td_20160401.txt
4.0,12,15.918,mb_lws_td_20160401.txt
4.5,12,15.918,mb_lws_td_20160401.txt
5.0,12,15.918,mb_lws_td_20160401.txt
5.5,12,,mb_lws_td_20160401.txt
6.0,12,,mb_lws_td_20160401.txt
6.5,12,,mb_lws_td_20160401.txt
7.0,12,,mb_lws_td_20160401.txt
0.0,15,8.86,mb_lws_td_20160401.txt
0.5,15,8.925,mb_lws_td_20160401.txt
1.0,15,9.069,mb_lws_td_20160401.txt
1.5,15,9.312,mb_lws_td_20160401.txt
2.0,15,9.902,mb_lws_td_20160401.txt
2.5,15,11.019,mb_lws_td_20160401.txt
3.0,15,11.363,mb_lws_td_20160401.txt
3.5,15,12.176,mb_lws_td_20160401.txt
4.0,15,14.046,mb_lws_td_20160401.txt
4.5,15,14.046,mb_lws_td_20160401.txt
5.0,15,,mb_lws_td_20160401.txt
5.5,15,,mb_lws_td_20160401.txt
6.0,15,,mb_lws_td_20160401.txt
6.5,15,,mb_lws_td_20160401.txt
7.0,15,,mb_lws_td_20160401.txt
0.0,18,6.936,mb_lws_td_20160401.txt
0.5,18,8.04,mb_lws_td_20160401.txt
1.0,18,8.865,mb_lws_td_20160401.txt
1.5,18,8.877,mb_lws_td_20160401.txt
2.0,18,9.273,mb_lws_td_20160401.txt
2.5,18,9.621,mb_lws_td_20160401.txt
3.0,18,9.84,mb_lws_td_20160401.txt
3.5,18,9.953,mb_lws_td_20160401.txt
4.0,18,10.173,mb_lws_td_20160401.txt
4.5,18,10.343,mb_lws_td_20160401.txt
5.0,18,10.517,mb_lws_td_20160401.txt
5.5,18,10.798,mb_lws_td_20160401.txt
6.0,18,10.798,mb_lws_td_20160401.txt
6.5,18,,mb_lws_td_20160401.txt
7.0,18,,mb_lws_td_20160401.txt
0.0,21,5.737,mb_lws_td_20160401.txt
0.5,21,5.888,mb_lws_td_20160401.txt
1.0,21,6.012,mb_lws_td_20160401.txt
1.5,21,8.23,mb_lws_td_20160401.txt
2.0,21,8.41,mb_lws_td_20160401.txt
2.5,21,8.626,mb_lws_td_20160401.txt
3.0,21,8.872,mb_lws_td_20160401.txt
3.5,21,8.966,mb_lws_td_20160401.txt
4.0,21,9.503,mb_lws_td_20160401.txt
4.5,21,9.781,mb_lws_td_20160401.txt
5.0,21,9.9,mb_lws_td_20160401.txt
5.5,21,9.918,mb_lws_td_20160401.txt
6.0,21,9.918,mb_lws_td_20160401.txt
6.5,21,,mb_lws_td_20160401.txt
7.0,21,,mb_lws_td_20160401.txt
0.0,24,4.22,mb_lws_td_20160401.txt
0.5,24,5.009,mb_lws_td_20160401.txt
1.0,24,5.113,mb_lws_td_20160401.txt
1.5,24,6.245,mb_lws_td_20160401.txt
2.0,24,6.392,mb_lws_td_20160401.txt
2.5,24,7.35,mb_lws_td_20160401.txt
3.0,24,7.974,mb_lws_td_20160401.txt
3.5,24,8.755,mb_lws_td_20160401.txt
4.0,24,8.948,mb_lws_td_20160401.txt
4.5,24,9.148,mb_lws_td_20160401.txt
5.0,24,9.361,mb_lws_td_20160401.txt
5.5,24,9.562,mb_lws_td_20160401.txt
6.0,24,9.562,mb_lws_td_20160401.txt
6.5,24,,mb_lws_td_20160401.txt
7.0,24,,mb_lws_td_20160401.txt
0.0,27,3.384,mb_lws_td_20160401.txt
0.5,27,3.42,mb_lws_td_20160401.txt
1.0,27,3.72,mb_lws_td_20160401.txt
1.5,27,3.808,mb_lws_td_20160401.txt
2.0,27,5.861,mb_lws_td_20160401.txt
2.5,27,6.36,mb_lws_td_20160401.txt
3.0,27,6.867,mb_lws_td_20160401.txt
3.5,27,7.788,mb_lws_td_20160401.txt
4.0,27,8.311,mb_lws_td_20160401.txt
4.5,27,8.761,mb_lws_td_20160401.txt
5.0,27,8.856,mb_lws_td_20160401.txt
5.5,27,8.856,mb_lws_td_20160401.txt
6.0,27,,mb_lws_td_20160401.txt
6.5,27,,mb_lws_td_20160401.txt
7.0,27,,mb_lws_td_20160401.txt
0.0,30,2.096,mb_lws_td_20160401.txt
0.5,30,2.1,mb_lws_td_20160401.txt
1.0,30,2.11,mb_lws_td_20160401.txt
1.5,30,2.785,mb_lws_td_20160401.txt
2.0,30,3.494,mb_lws_td_20160401.txt
2.5,30,4.949,mb_lws_td_20160401.txt
3.0,30,5.027,mb_lws_td_20160401.txt
3.5,30,6.839,mb_lws_td_20160401.txt
4.0,30,7.131,mb_lws_td_20160401.txt
4.5,30,7.296,mb_lws_td_20160401.txt
5.0,30,7.296,mb_lws_td_20160401.txt
5.5,30,,mb_lws_td_20160401.txt
6.0,30,,mb_lws_td_20160401.txt
6.5,30,,mb_lws_td_20160401.txt
7.0,30,,mb_lws_td_20160401.txt
0.0,33,1.179,mb_lws_td_20160401.txt
0.5,33,1.184,mb_lws_td_20160401.txt
1.0,33,1.255,mb_lws_td_20160401.txt
1.5,33,1.405,mb_lws_td_20160401.txt
2.0,33,1.627,mb_lws_td_20160401.txt
2.5,33,1.752,mb_lws_td_20160401.txt
3.0,33,3.351,mb_lws_td_20160401.txt
3.5,33,3.437,mb_lws_td_20160401.txt
4.0,33,3.53,mb_lws_td_20160401.txt
4.5,33,3.53,mb_lws_td_20160401.txt
5.0,33,,mb_lws_td_20160401.txt
5.5,33,,mb_lws_td_20160401.txt
6.0,33,,mb_lws_td_20160401.txt
6.5,33,,mb_lws_td_20160401.txt
7.0,33,,mb_lws_td_20160401.txt
0.0,36,0.826,mb_lws_td_20160401.txt
0.5,36,0.905,mb_lws_td_20160401.txt
1.0,36,0.964,mb_lws_td_20160401.txt
1.5,36,1.06,mb_lws_td_20160401.txt
2.0,36,1.089,mb_lws_td_20160401.txt
2.5,36,1.05,mb_lws_td_20160401.txt
3.0,36,1.094,mb_lws_td_20160401.txt
3.5,36,1.149,mb_lws_td_20160401.txt
4.0,36,1.268,mb_lws_td_20160401.txt
4.5,36,1.446,mb_lws_td_20160401.txt
5.0,36,1.446,mb_lws_td_20160401.txt
5.5,36,,mb_lws_td_20160401.txt
6.0,36,,mb_lws_td_20160401.txt
6.5,36,,mb_lws_td_20160401.txt
7.0,36,,mb_lws_td_20160401.txt
0.0,39,0.711,mb_lws_td_20160401.txt
0.5,39,0.712,mb_lws_td_20160401.txt
1.0,39,0.825,mb_lws_td_20160401.txt
1.5,39,0.921,mb_lws_td_20160401.txt
2.0,39,1.034,mb_lws_td_20160401.txt
2.5,39,1.936,mb_lws_td_20160401.txt
3.0,39,4.018,mb_lws_td_20160401.txt
3.5,39,4.596,mb_lws_td_20160401.txt
4.0,39,4.85,mb_lws_td_20160401.txt
4.5,39,4.95,mb_lws_td_20160401.txt
5.0,39,4.95,mb_lws_td_20160401.txt
5.5,39,,mb_lws_td_20160401.txt
6.0,39,,mb_lws_td_20160401.txt
6.5,39,,mb_lws_td_20160401.txt
7.0,39,,mb_lws_td_20160401.txt
0.0,42,0.689,mb_lws_td_20160401.txt
0.5,42,0.724,mb_lws_td_20160401.txt
1.0,42,0.827,mb_lws_td_20160401.txt
1.5,42,1.253,mb_lws_td_20160401.txt
2.0,42,1.925,mb_lws_td_20160401.txt
2.5,42,2.37,mb_lws_td_20160401.txt
