INSTSoton,
ABS (dB),SSC (mg/L)
87,94.92625369
88,123.141994
90,169.1988131
91,256.460177
91,333.8011696
89,398.343949
87,237.7018634
85,253.9873418
84,147.8823529
87,129.702381
89,229.4318182
86,166.2650602
87,285.0144092
87,146.031746
86,161.147541
87,146.908078
85,157.2774869
,
INST1285/1238,
ABS (dB),SSC (mg/L)
80,14.36997319
80,15.08196721
76,11.07526882
73,10.35040431
64,7.783783784
63,6.4
77,11.48351648
74,10.16574586
73,9.398907104
72,10.16129032
69,9.513513514
58,6.744186047
62,8.11827957
67,8.882833787
67,8.810810811
66,7.081081081
71,10.4
73,9.189189189
73,9.243243243
74,9.891891892
74,63.86167147
73,62.84829721
83,112.9239766
85,108.8695652
81,101.3649852
80,124
87,202.4
81,104.7447447
81,98.34319527
79,92.08333333
84,95.43859649
85,134.8688047
83,117.8658537
88,199.4186047
89,241.9710145
,
INST1258,
ABS (dB),SSC (mg/L)
59,7.169811321
63,6.98019802
67,8.019323671
70,7.80952381
71,10.33816425
66,7.368421053
59,6.282973621
63,8.484848485
68,8.254716981
69,8.32183908
59,5.763546798
61,6.448087432
67,8.080862534
68,8.392370572
64,8.793565684
70,6.016260163
78,14.42080378
78,16.68997669
77,15.53956835
77,15.51886792
78,12.59079903
86,148.8690476
88,131.9794344
87,256.8876081
88,265.625
86,182.2797927
86,160.2506266
90,314.7191011
89,215.4347826
90,324.0804598
90,282.7272727
91,243.6666667
91,190.1449275
90,207.8285714
87,227.7286136
84,166.1095101
82,117.9552716
85,175.3888889
,
INST1259,
ABS (dB),SSC (mg/L)
80,7.942583732
78,11.95238095
76,11.09004739
75,10.8353222
75,11.99115044
80,20.57142857
79,15.90588235
80,15.25821596
79,11.82692308
78,13.54368932
75,9.651474531
75,13.27956989
74,10.69892473
75,13.11827957
77,10.91891892
68,7.548076923
69,5.961538462
66,8.685446009
68,7.587719298
68,8.010752688
66,8.046511628
76,36.86604425
78,37.24206696
87,53.68940623
89,61.37451676
91,106.6666667
77,39.057601
81,43.56687146
88,101.0493827
89,83.95754172
82,58.2628456
90,71.45349657
89,104.3761371
84,62.30189249
83,53.79180473
85,57.02841445
72,36.99520772
,
RiverRay645647,
ABS (dB),SSC (mg/L)
66,11.60092807
65,14.57076566
70,15
72,17.68867925
71,16.58878505
63,10.58823529
66,10.43243243
69,18.19477435
70,14.03341289
74,26.77200903
71,21.49882904
66,15.10917031
64,14.0969163
63,12.49417249
67,17.70878881
70,18.43520782
72,17.88235294
74,23.38028169
67,17.1291866
70,13.63881402
56,8.770053476
61,7.903225806
61,67.30666667
65,78.76010782
65,70.29023747
67,110.3081232
70,88.13829787
71,99.15119363
71,105.7142857
72,158.9175258
74,135.3314121
74,133.7190083
72,135.6446991
70,95.47277937
72,122.0588235
70,96.57971014
67,85.21994135
,
INST24310,
ABS (dB),SSC (mg/L)
69,9.69837587
71,10.77294686
70,10.66997519
69,7.559808612
70,10.31390135
68,10.9009009
70,12.42506812
74,14.75
67,8.695652174
68,10.30732861
69,9.575471698
68,9.282296651
66,10.12722646
68,10.69651741
69,9.320843091
70,9.548693587
66,7.117117117
66,7.748184019
68,10.47619048
73,12.10045662
62,7.938596491
64,8.691588785
72,58.53164557
72,74.03076923
77,86.06382979
80,109.8802395
82,109.0217391
85,162.1276596
84,232.7842105
83,193.5656836
83,125.0134771
84,141.1260054
86,156.9565217
80,130.8668407
79,103.8482385
78,89.11458333
76,66.27249357
