Date,2005,2006,2007,2008,2009,2010,2011,2012
01-Jan,0.019378679,0.027678806,0.018448251,0.0353028,0.022825473,0.012951534,0.015150012,0.031408786
02-Jan,0.019786988,0.025871246,0.015674178,0.029648623,0.024469056,0.014857461,0.014633477,0.030425308
03-Jan,0.020363335,0.026282724,0.017780122,0.024284265,0.023820812,0.016524885,0.015280208,0.028573533
04-Jan,0.021364016,0.027256023,0.016391718,0.021353919,0.024036168,0.013862392,0.017351806,0.026456212
05-Jan,0.023934166,0.034270968,0.018113015,0.019596129,0.025050739,0.017116314,0.013310257,0.022846281
06-Jan,0.022380465,0.0328628,0.01878582,0.021892402,0.021846158,0.012712295,0.013871513,0.020202177
07-Jan,0.012888296,0.031334284,0.018955477,0.018400157,0.018222234,0.019002005,0.01086685,0.018283883
08-Jan,0.009308911,0.035871785,0.01870121,0.026672099,0.01533375,0.019276947,0.01587131,0.023507864
09-Jan,0.008122538,0.026282724,0.023382144,0.020732162,0.015273048,0.015363931,0.012757854,0.021046252
10-Jan,0.011219884,0.022957056,0.024966533,0.024472145,0.0173234,0.011829083,0.017010933,0.016958349
11-Jan,0.010680985,0.01646197,0.02319835,0.022801169,0.01907205,0.014047136,0.017420289,0.016309792
12-Jan,0.008429533,0.022828905,0.022650289,0.020732162,0.015884116,0.008891196,0.015085074,0.015104041
13-Jan,0.00969454,0.022067852,0.023382144,0.021443312,0.01152567,0.007709488,0.011916373,0.018621123
14-Jan,0.008122538,0.01892514,0.01623121,0.016175608,0.011635017,0.010574317,0.011738906,0.01735205
15-Jan,0.013750774,0.0197465,0.01285484,0.022163554,0.013843537,0.012238495,0.008304003,0.020272017
16-Jan,0.014335949,0.015610603,0.015912,0.017480705,0.013378824,0.012951534,0.007196214,0.02111718
17-Jan,0.016911108,0.020465025,0.011211345,0.016904985,0.012020771,0.009910777,0.010131937,0.020904668
18-Jan,0.016062615,0.021817158,0.010320674,0.011847867,0.013378824,0.011482033,0.011387016,0.020763445
19-Jan,0.014115563,0.017671166,0.01543772,0.016417372,0.015761184,0.011597317,0.010638642,0.01735205
20-Jan,0.010547638,0.015927102,0.00875121,0.014909418,0.014255025,0.012652728,0.008564108,0.017749153
21-Jan,0.008122538,0.01733695,0.009198778,0.013457412,0.009370908,0.008733754,0.006382088,0.01605305
22-Jan,0.00995449,0.010821021,0.008312185,0.012351517,0.009624676,0.012415436,0.006057749,0.015292094
23-Jan,0.010614242,0.008922845,0.008499286,0.020909093,0.010035971,0.009638743,0.00877438,0.012044047
24-Jan,0.012959461,0.014478427,0.011281015,0.016904985,0.007434178,0.010518452,0.007147301,0.014116019
25-Jan,0.008122538,0.013682918,0.008562005,0.02225422,0.009320461,0.007165341,0.00872163,0.012216755
26-Jan,0.007759158,0.009480357,0.011491009,0.013532416,0.008624992,0.006027208,0.011328764,0.009566929
27-Jan,0.006249821,0.010907886,0.014736586,0.015143831,0.009778154,0.011195583,0.013746029,0.011872268
28-Jan,0.005807579,0.00845899,0.005277182,0.015775709,0.006886449,0.012891579,0.005875312,0.015292094
29-Jan,0.007699132,0.009319269,0.005540869,0.01206274,0.008723103,0.007709488,0.008880241,0.007454622
30-Jan,0.004597768,0.006868349,0.01285484,0.015458541,0.008478607,0.007460432,0.006570298,0.017154773
31-Jan,0.005164709,0.00272683,0.011491009,0.008741687,0.0061809,0.008267339,0.008304003,0.01868885
01-Feb,0.007165901,0.003940831,0.007460188,0.006008672,0.007204047,0.006778381,0.01052523,0.016245462
02-Feb,0.006817521,0.00503397,0.008126672,0.009451628,0.00947211,0.006635208,0.008304003,0.013752047
03-Feb,0.006588482,0.009972271,0.006700818,0.007565834,0.008140715,0.004453245,0.007843542,0.013391677
04-Feb,0.005972159,0.00845899,0.004764625,0.009320981,0.0061809,0.009965499,0.008252349,0.013153442
05-Feb,0.004053096,0.010392125,0.003133119,0.014521832,0.005380802,0.010130293,0.012214396,0.013451488
06-Feb,0.004699219,0.012070161,0.00757975,0.010453348,0.005796722,0.008318723,0.011039211,0.013153442
07-Feb,0.007519982,0.003030824,0.010388189,0.00732659,0.007855215,0.007312369,0.007001323,0.011929424
08-Feb,0.004446974,0.009724691,0.005918185,0.009648892,0.007526989,0.007559713,0.00666518,0.009097664
09-Feb,0.005376219,0.008382937,0.008941985,0.007686551,0.006398306,0.013373921,0.005875312,0.004397747
10-Feb,0.002293168,0.010648377,0.008188333,0.011072655,0.004317059,0.010240677,0.003818392,0.007598854
11-Feb,0.001776718,0.003166245,0.004272234,0.009191028,0.004317059,0.011138596,0.007792998,0.00665721
12-Feb,0.001828614,0.004804174,0.00317608,0.008176651,0.005754609,0.006493101,0.003043112,0.007359048
13-Feb,0.001521291,0.006530873,0.007821037,0.006174904,0.004818267,0.005573521,0.005428565,0.006795449
14-Feb,0.004053096,0.006398364,0.007821037,0.006799067,0.006094729,0.005618332,0.005784891,0.006565649
15-Feb,0.004904305,0.005571528,0.006643695,0.0040098,0.005545775,0.003461404,0.002433144,0.013451488
16-Feb,0.004648402,0.004254141,0.004128527,0.006063891,0.006009013,0.002838144,0.005516838,0.007695588
17-Feb,0.003485449,0.003494257,0.005434808,0.009781262,0.003622368,0.000874916,0.006382088,0.00674925
18-Feb,0.005376219,0.003166245,0.005277182,0.013758381,0.002345522,0.002838144,0.003078503,0.014483568
19-Feb,0.004199382,0.0046355,0.003527704,0.015379632,0.005670728,0.003808431,0.003818392,0.010260362
20-Feb,0.003531662,0.00272683,0.004916298,0.009781262,0.006137757,0.003089563,0.003665599,0.006204214
21-Feb,0.000367637,0.00260167,0.003394202,0.010182475,0.006311005,0.003808431,0.004371605,0.005042482
22-Feb,0.003718519,0.002206568,0.003438485,0.009126313,0.006886449,0.003926649,0.006149761,0.006204214
23-Feb,0.005217323,0.000901247,0.006082772,0.01093386,0.007713903,0.002129871,0.004091445,0.002385435
24-Feb,0.003348023,0.002643049,0.005918185,0.008551746,0.00412983,0.004288767,0.004452941,0.004960078
25-Feb,0.004397081,0.003889827,0.006138015,0.009126313,0.00412983,0.008473535,0.007894211,0.005001216
26-Feb,0.005753058,0.006009333,0.002437517,0.010182475,0.004507385,0.006682814,0.00666518,0.003494537
27-Feb,0.003212441,0.003788859,0.002921674,0.005414063,0.003106845,0.005935485,0.005920723,0.004241809
28-Feb,0.001108012,0.00260167,0.006138015,0.005256016,0.002138859,0.00256003,0.005253646,0.004397747
29-Feb,NaN,NaN,NaN,0.002896284,NaN,NaN,NaN,0.005982261
01-Mar,0.001282658,0.000509155,0.006873299,0.002334572,0.004167027,0.001118023,0.0084597,0.005419604
02-Mar,0.001616876,0.000425132,0.004614767,0.005627553,0.002528295,0.002226685,0.006952918,0.005125398
03-Mar,0.005112272,0.001580409,0.003262667,0.008614883,0.000961442,0.002594247,0.004742077,0.005167048
04-Mar,1.56E-05,0.000944438,0.002185665,0.006399223,0.00159148,0.003614214,0.005784891,0.013994296
05-Mar,0.001641971,0.001950129,0.001944398,0.006455778,0.000811441,0.00530729,0.005123891,0.010916583
06-Mar,0.002735759,0.002244553,0.002093015,0.004945301,0.001325314,0.004207339,0.006856492,0.008285626
07-Mar,0.008122538,0.000585861,0.003572639,0.006399223,0.003412602,0.004959433,0.004534845,0.003566791
08-Mar,0.003348023,0.000144282,0.001987464,0.002104471,0.006267524,0.002663153,0.00457601,0.001418502
09-Mar,0.002903397,0.002021712,0.001859347,0.00277206,0.003207566,0.001633683,0.003185606,0.000346299
10-Mar,0.000553458,0.003689276,0.000205293,0.003325143,0.002779906,0.000481859,0.002765627,0.003974065
11-Mar,0.001780408,0.005633014,0.000242982,0.00091329,0.001607088,0.000987747,0.000488181,0.000837245
12-Mar,0.000683412,0.002058008,0.000586986,0.003065121,0.003836794,0.006165707,0.002597363,0.000570785
13-Mar,0.001359575,0.002439556,0.001327239,0.003915711,0.0028442,0.005981285,0.003043112,0.001906953
14-Mar,0.001926295,0.001114501,0.003438485,0.003022571,0.002375626,0.000598991,0.005297172,0.001477853
15-Mar,0.002990637,0.002321538,0.007282204,0.002307707,0.001236765,0.000775933,0.006103689,0.008186146
16-Mar,0.002345552,0.000903619,0.006193448,0.004641845,0.001747418,0.000987747,0.003818392,0.005633526
17-Mar,0.003718519,0.000410846,0.003800542,0.009714991,0.000684387,0.000183223,0.002531187,0.00702822
18-Mar,0.001139713,0.001517531,0.001462652,0.011212115,3.86E-06,0.000796307,0.002597363,0.006474567
19-Mar,0.003393628,0.000446219,0.001717425,0.006626576,0.00106666,0.000264929,0.001190924,0.00401191
20-Mar,0.006588482,0.001284996,0.000930198,0.006286683,0.002876554,0.001601674,8.12E-05,0.004319512
21-Mar,0.007401328,0.00039991,0.000284759,0.00520373,0.003982301,0.001000029,0.002972797,0.003141723
22-Mar,0.005270113,0.001184459,0.000908694,0.002315371,0.00542187,0.001146294,0.003007876,0.000980003
23-Mar,0.005007931,0.000548635,0.001453043,0.003413598,0.003800736,0.000726909,0.002400791,0.001793734
24-Mar,0.003034576,0.002282876,0.001912334,0.0026904,0.002375626,0.001203569,0.003590095,0.000988925
25-Mar,0.002181683,0.00272683,0.004515877,0.001441475,0.002621599,0.00140599,8.02E-06,0.001765839
26-Mar,0.004101667,0.004201054,0.001358283,0.003962649,0.000610299,0.001248488,0.000102648,0.000306609
27-Mar,0.004397081,0.001339783,0.005018415,0.00363858,0.000825603,0.001475864,0.001818048,0.000805994
28-Mar,0.000951032,0.001231402,0.008065189,0.002490345,0.001143643,0.000179147,0.003294095,0.002448054
29-Mar,0.001424224,0.000312465,0.006989211,0.002182659,0.001089093,0.001541182,0.002868501,0.004516091
30-Mar,0.002329392,0.000100176,0.004128527,0.002529885,0.001911543,0.000351418,0.00573988,0.002869794
31-Mar,0.004199382,5.28E-09,0.002715895,0.005467141,1.12E-07,4.54E-05,0.003221615,0.004715954
01-Apr,0.002414641,1.76E-05,0.003005577,0.006569455,1.87E-05,0.000156662,0.00457601,0.0071693
02-Apr,0.000751712,0.000852189,0.003219263,0.008114759,4.66E-05,0.000100225,0.001876469,0.00702822
