Date,2005,2006,2007,2008,2009,2010,2011,2012
01-Jan,0.008705195,0.01327088,0.010283322,0.01960324,0.027713474,0.007248934,0.00702839,0.025492325
02-Jan,0.009093115,0.013139222,0.010363333,0.01818294,0.027216001,0.00680467,0.00702839,0.02322774
03-Jan,0.00919049,0.013402981,0.009407946,0.016912153,0.026062241,0.006951862,0.00634832,0.020126848
04-Jan,0.008995898,0.013668505,0.009725242,0.015167302,0.026062241,0.006296695,0.006022589,0.01795083
05-Jan,0.008319858,0.013801926,0.009013029,0.015414041,0.025407433,0.007099953,0.00550071,0.016910775
06-Jan,0.00716143,0.014475563,0.009407946,0.01418905,0.02362401,0.006951862,0.005101969,0.016068431
07-Jan,0.005802588,0.014884924,0.009645806,0.014921425,0.022502708,0.006951862,0.005004872,0.017253913
08-Jan,0.005784404,0.013801926,0.007995544,0.013705263,0.02107718,0.007549537,0.005399468,0.015410483
09-Jan,0.005793495,0.012358659,0.009487158,0.01418905,0.020449614,0.007398798,0.005399468,0.015410483
10-Jan,0.005994032,0.011974476,0.009884332,0.013344818,0.017521688,0.005660518,0.006130111,0.015573644
11-Jan,0.006140516,0.011094153,0.00932881,0.013105678,0.019205922,0.005800206,0.005810696,0.015410483
12-Jan,0.006444295,0.010601401,0.009091859,0.013705263,0.019670494,0.005384096,0.00645901,0.014293086
13-Jan,0.005603041,0.009757497,0.008151173,0.012393919,0.019051555,0.004910058,0.005200099,0.014766674
14-Jan,0.005467595,0.010236834,0.006641395,0.011690867,0.019670494,0.005315613,0.004265037,0.014607929
15-Jan,0.006324361,0.009757497,0.006178979,0.012986458,0.020449614,0.005591041,0.003193112,0.015086813
16-Jan,0.006824731,0.009757497,0.007069151,0.011458502,0.019051555,0.005247383,0.002475545,0.01777527
17-Jan,0.006806098,0.010116272,0.007299529,0.010653265,0.019051555,0.005179405,0.003000597,0.016571181
18-Jan,0.007114521,0.010846831,0.006337744,0.008458364,0.018743565,0.004710778,0.002821713,0.012478017
19-Jan,0.005838981,0.010236834,0.007299529,0.008317455,0.019981422,0.004910058,0.003185585,0.010520259
20-Jan,0.004789249,0.010601401,0.00619408,0.008220203,0.016766424,0.005179405,0.002857003,0.010123057
21-Jan,0.004437831,0.010116272,0.00593794,0.007620704,0.015423899,0.00446179,0.002384886,0.009102245
22-Jan,0.005458583,0.00848008,0.006028202,0.006947838,0.015720313,0.004977007,0.002482092,0.009605677
23-Jan,0.005144591,0.00803078,0.00617143,0.008166281,0.014834455,0.004592354,0.002814684,0.008020412
24-Jan,0.004975327,0.007372514,0.00649696,0.009303233,0.013814067,0.005044216,0.002321273,0.008137142
25-Jan,0.004727462,0.006411156,0.006088462,0.009192537,0.013237552,0.003825544,0.0026218,0.008492539
26-Jan,0.004613037,0.006114444,0.00683962,0.009082127,0.013814067,0.002581007,0.003261298,0.007338235
27-Jan,0.005055399,0.005762728,0.006534934,0.008436652,0.013814067,0.002908998,0.0028358,0.008254739
28-Jan,0.004842305,0.005574766,0.004414353,0.009414214,0.013381223,0.003912917,0.002227635,0.008373205
29-Jan,0.004429098,0.004630195,0.003988004,0.009303233,0.013669483,0.003856684,0.001114517,0.008733813
30-Jan,0.004142371,0.005535464,0.004706108,0.008112435,0.013958951,0.003499968,0.001368706,0.009992403
31-Jan,0.004604253,0.005564931,0.004772041,0.006761043,0.012808393,0.004172014,0.001178615,0.010654407
01-Feb,0.003773215,0.005291966,0.005303136,0.004149719,0.011677954,0.003726385,0.001796654,0.009605677
02-Feb,0.00486001,0.005224453,0.004948365,0.006126217,0.013381223,0.003683238,0.002172475,0.008020412
03-Feb,0.004315801,0.005792599,0.004218636,0.006298934,0.012382062,0.00378207,0.001589962,0.008020412
04-Feb,0.003325622,0.006870322,0.004808716,0.0060352,0.011259458,0.003925445,0.001785714,0.006900757
05-Feb,0.001947278,0.005624025,0.004479812,0.007440672,0.008511763,0.004197545,0.001401922,0.006793547
06-Feb,0.002474058,0.005584606,0.004596453,0.007209077,0.007601303,0.004007156,0.001544242,0.006270439
07-Feb,0.003059631,0.003525398,0.00486746,0.005934416,0.008788805,0.00374492,0.001715502,0.005574247
08-Feb,0.00356948,0.003226521,0.004589153,0.00558459,0.008828525,0.002058592,0.00201157,0.004223832
09-Feb,0.003100971,0.003525398,0.005414564,0.006248028,0.008132105,0.00231288,0.001584845,0.003100549
10-Feb,0.004133728,0.004547297,0.004830735,0.005674106,0.007524225,0.003367289,0.001450138,0.004140634
11-Feb,0.003275496,0.004220812,0.004218636,0.004726017,0.009001054,0.003554667,0.00157464,0.004920111
12-Feb,0.004107814,0.003601505,0.003326511,0.005964612,0.00933468,0.003135743,0.000713903,0.004740919
13-Feb,0.00319221,0.003308643,0.003708958,0.006126217,0.009107553,0.002806009,0.000603918,0.004565144
14-Feb,0.003485099,0.004193978,0.003545489,0.005994842,0.010335959,0.002509053,0.000694324,0.005102724
15-Feb,0.003790269,0.004211861,0.003830312,0.005298259,0.008341148,0.002932029,0.000574354,0.005288762
16-Feb,0.003705115,0.0047322,0.003787431,0.003608272,0.008524916,0.002237839,0.000764171,0.003896144
17-Feb,0.002410184,0.00379848,0.002782904,0.004754771,0.008236495,0.002399502,0.001249178,0.002849226
18-Feb,0.001839696,0.003781212,0.003312439,0.005357233,0.006461972,0.002042983,0.001135663,0.004058287
19-Feb,0.002707656,0.003433127,0.00361646,0.005505278,0.005662857,0.002163513,0.001048325,0.00371388
20-Feb,0.00246606,0.003669616,0.003102171,0.00495709,0.007014405,0.002022225,0.000903789,0.00331834
21-Feb,0.002450076,0.003251084,0.003439335,0.00483163,0.007976016,0.001787949,0.000622051,0.003288861
22-Feb,0.002450076,0.002679291,0.003305405,0.005376922,0.007575593,0.002227177,0.001093591,0.003179523
23-Feb,0.003059631,0.00194289,0.003623566,0.004687738,0.009401693,0.00095799,0.00145501,0.002550414
24-Feb,0.003275496,0.00221055,0.00321412,0.00483163,0.006127503,0.001566981,0.000953222,0.002931787
25-Feb,0.00276451,0.002733229,0.002838144,0.005534991,0.006674347,0.001823064,0.001157028,0.002966545
26-Feb,0.00276451,0.002810911,0.002010231,0.005554819,0.006474427,0.001708429,0.000517677,0.002767878
27-Feb,0.002362444,0.003000324,0.00199694,0.004889448,0.006300492,0.001975742,0.000512188,0.002543967
28-Feb,0.002306931,0.002944648,0.002460935,0.004308695,0.005992257,0.001634829,0.000777896,0.002767878
29-Feb,NaN,NaN,NaN,0.003509162,NaN,NaN,NaN,0.003172301
01-Mar,0.002086916,0.002740964,0.003151093,0.002927454,0.006787327,0.001429103,0.00099224,0.002917942
02-Mar,0.002299017,0.001949783,0.002928169,0.003014115,0.005894274,0.001222562,0.001016067,0.001494975
