Month,Day,Year,Discharge (m3/s),Section Averaged SSC (mg/l),Sediment Flux (kg/s)
1,8,2005,1436.410673,48.31645515,78.39139139
1,8,2005,1380.707443,55.98949067,82.96846669
1,8,2005,1132.91636,49.8846953,74.57296592
1,8,2005,364.4275007,32.13070982,12.49468968
1,9,2005,795.3725266,19.18297361,9.964692329
1,9,2005,1107.894758,24.81421328,24.81739085
1,9,2005,1247.544801,35.21211777,48.40731182
1,9,2005,1348.348259,36.99713362,56.68254347
1,9,2005,1397.950313,38.23200952,59.63276461
1,9,2005,1464.199969,43.36719887,65.91907504
1,9,2005,1455.994654,43.34781654,80.51836094
1,9,2005,1437.430505,49.37996251,87.50345741
1,9,2005,1442.229017,60.72304099,109.7033189
1,9,2005,1047.951863,54.48219655,68.96415387
1,10,2005,319.3640097,19.1360669,3.929271831
1,10,2005,885.8438526,17.49004426,11.01986748
1,10,2005,1137.237499,22.69380598,26.95320661
1,10,2005,1293.722554,29.75060229,38.58327223
1,10,2005,1371.562044,36.08538456,49.12277232
1,10,2005,1454.957693,32.70233637,57.29042072
1,10,2005,1446.368032,35.88988844,61.93398003
1,10,2005,1548.308411,40.86396587,76.08563899
1,10,2005,1517.746514,51.95734735,88.27398823
1,10,2005,1493.073296,50.67000377,92.97876362
1,10,2005,889.1839475,50.7059404,52.1093946
1,10,2005,624.7142346,14.77189759,9.660443036
1,11,2005,950.2284732,14.41204844,14.44017348
1,11,2005,1031.038806,25.45012373,32.9769415
1,11,2005,1038.445264,24.80301647,31.63323383
1,11,2005,775.1939323,19.32240798,18.48251896
1,11,2005,411.3852637,14.06518083,4.441251665
1,11,2005,939.6863541,17.89244677,13.41431859
1,11,2005,1179.764226,27.01197788,30.24150382
1,11,2005,1263.371489,31.97724946,38.52892447
1,11,2005,1401.618362,32.0345749,52.32580421
7,11,2005,1359.243634,67.59204885,122.4426494
7,11,2005,2103.504062,127.8537789,350.5581644
7,12,2005,2302.043336,201.25205,601.4292268
7,12,2005,2410.104178,202.6506125,626.6792168
7,12,2005,2415.661514,204.0734509,631.2480986
7,12,2005,2422.07863,210.1637717,655.1382865
7,12,2005,2459.357076,192.1390808,594.0280321
7,12,2005,2385.247003,224.7257899,675.317226
7,12,2005,2109.613738,224.5641341,598.4412689
7,12,2005,1631.175065,210.1322666,441.5331769
7,12,2005,1401.366411,168.1887894,317.9717475
7,12,2005,1512.435627,135.4479602,272.9021652
7,12,2005,1716.521893,139.2407864,303.3730386
7,12,2005,1913.21448,178.9880966,429.2012079
7,12,2005,2056.634525,191.6065426,511.2643576
7,12,2005,2118.977741,167.9900777,454.4157856
7,12,2005,1995.612647,143.7981014,367.0617822
7,12,2005,2224.975398,222.2364046,634.8210976
7,12,2005,2230.383164,220.0536439,625.0270388
7,12,2005,2158.08932,206.2150368,567.2616029
7,12,2005,2002.897059,192.8622764,480.0790571
7,12,2005,15.53684625,212.9393064,2.206989002
7,13,2005,594.5227552,139.8808029,81.76894305
7,13,2005,2273.117801,135.2772801,382.5872977
7,13,2005,2363.526671,137.4362036,407.9349764
7,13,2005,2438.389581,141.6468631,432.0251411
7,13,2005,2331.680522,151.0227645,450.6550699
7,13,2005,2255.305985,139.7100044,430.9542929
7,13,2005,2137.854532,155.5223083,433.4673025
7,13,2005,1710.602862,153.9370121,339.9184644
7,13,2005,1338.57331,105.3844337,187.8601961
7,13,2005,1360.888388,87.48924915,156.8150493
7,13,2005,1555.951275,75.74433561,145.4180222
4,18,2005,955.2082104,84.96374413,89.26829501
4,18,2005,822.5770425,95.88892592,90.75365727
4,18,2005,225.3575941,93.45156072,24.88841565
4,18,2005,566.3191498,81.45814343,51.55412614
4,18,2005,722.7933413,81.17793879,69.59858565
4,18,2005,777.9689417,69.62526905,59.2091692
4,18,2005,710.8034394,70.18307797,56.55826664
4,18,2005,671.0705657,79.03484715,61.94798357
4,18,2005,487.6864713,93.08512013,57.64453953
4,18,2005,340.213951,93.56752076,40.40641816
4,18,2005,152.7332455,94.42811104,16.38084565
4,18,2005,212.820815,95.60796725,22.77388405
4,18,2005,491.2182956,95.76225994,51.26451449
4,18,2005,626.2568073,92.1073842,63.62909727
4,19,2005,646.7367269,83.5246557,60.47380076
4,19,2005,670.907605,92.88056356,65.15834965
4,19,2005,715.1952696,88.46934648,70.33598963
4,19,2005,683.2149187,96.99621998,66.52910261
4,19,2005,758.516096,96.54683549,84.26536231
4,19,2005,812.9174689,96.06377854,92.77292028
4,19,2005,864.1885906,97.10916598,96.52643534
4,19,2005,938.8506684,84.15914926,87.45915732
4,19,2005,904.7123676,79.87847869,80.35024372
4,19,2005,927.6080093,87.47235758,86.99294869
4,19,2005,895.5717488,83.35878631,83.53458714
4,19,2005,877.4830367,87.95370242,91.41187026
4,19,2005,811.4444598,93.71180579,87.95553691
4,19,2005,74.2277643,87.77319423,4.665054817
4,19,2005,735.9758062,83.65777906,67.88142113
4,19,2005,837.4808647,78.7668048,70.66005429
4,19,2005,858.4753878,77.3922967,78.01087773
4,19,2005,776.9902279,81.88368587,70.54880168
4,19,2005,676.3892031,98.71170967,81.01444366
4,19,2005,461.9405068,93.82705476,56.48299831
4,19,2005,191.9250999,97.92648044,23.72745163
4,19,2005,302.5623888,99.52243788,35.04688427
4,19,2005,646.8872639,94.49054036,68.67293161
4,19,2005,715.9685502,87.0825838,69.52201683
4,20,2005,746.7284463,85.53716327,74.6804795
4,20,2005,692.4286358,93.59411692,76.56430208
4,20,2005,584.6037347,94.4688276,65.35866775
4,20,2005,434.357992,97.32000282,50.64867779
4,20,2005,316.8422102,106.6175441,39.22595369
4,20,2005,303.806121,96.9932353,34.00709945
4,20,2005,505.5022464,97.44145933,56.75665807
4,20,2005,719.4162593,111.6350498,95.63593089
4,20,2005,826.6956729,96.79208366,83.9989702
4,20,2005,871.6253003,94.08293955,82.78575515
4,20,2005,929.997888,82.21967868,79.45844753
4,20,2005,914.847842,89.12829097,92.00499918
4,20,2005,895.1017033,93.67222959,91.08144914
4,20,2005,755.6524727,79.89178337,70.05419135
4,20,2005,236.693109,84.33954379,23.90734616
4,20,2005,819.0696496,82.58267855,74.89988788
4,20,2005,884.5970429,78.27660633,77.08560524
4,20,2005,875.4018695,91.31765756,89.89884828
4,20,2005,765.0256687,111.5014511,106.3339489
4,20,2005,564.3556029,106.8996631,75.66213484
4,20,2005,318.2986764,108.8261482,40.60081158
4,20,2005,326.3682382,108.9862127,42.49502282
4,20,2005,714.9722582,103.2158931,86.49607315
4,20,2005,851.2980284,92.60519746,84.99546773
4,21,2005,854.7097149,90.90487222,90.12463222
4,21,2005,808.0684019,96.04991974,90.62864632
4,21,2005,679.9391704,100.7292943,83.32768188
4,21,2005,194.4644589,106.8592215,22.76760922
4,21,2005,369.4810438,110.1616434,45.84001943
4,21,2005,422.1139518,90.44241824,43.88484868
4,21,2005,275.5132114,83.41290053,27.30955168
4,21,2005,167.2042008,80.65914973,15.39659792
4,21,2005,643.002989,88.94779413,63.4981572
4,21,2005,855.6918052,107.5226023,101.4625568
4,21,2005,929.8846731,102.4920414,102.9490742
4,21,2005,964.437971,92.70489674,100.1341428
4,21,2005,1003.836148,96.04594791,111.223622
4,21,2005,941.136039,91.2196876,102.3421397
4,21,2005,766.6166905,81.37770572,69.07342974
4,21,2005,492.9952947,79.68834016,45.8833254
4,21,2005,890.3900599,83.62902516,79.98408242
4,21,2005,848.3089399,92.60029402,87.41654576
4,21,2005,783.4713673,107.9954665,104.3126738
4,21,2005,645.1024037,112.7513044,92.88286259
4,21,2005,361.972686,113.3270424,51.90189883
4,21,2005,337.0755057,113.3631494,42.49024367
4,21,2005,755.9576083,107.3301629,93.79068047
4,21,2005,958.5742122,94.80398938,102.6844964
4,22,2005,913.8599893,87.52561273,89.90632521
4,22,2005,919.6134645,85.54228782,87.49686913
4,22,2005,889.2627288,83.85960801,87.32118132
4,22,2005,541.2267799,88.17400502,57.12330447
4,22,2005,394.7057493,95.05554386,44.48530249
4,22,2005,654.6618977,81.28608158,58.87898297
4,22,2005,592.8637744,72.00149065,47.69606845
