Date,2005,2006,2007,2008,2009,2010,2011,2012
01-Jan,0.011734737,0.02661614,NaN,0.062422389,0.024306203,0.010309493,0.029422011,0.036241976
02-Jan,0.011884865,0.029694681,NaN,0.059884471,0.026568537,0.013132811,0.028097703,0.036157277
03-Jan,0.014136073,0.03137759,NaN,0.055535393,0.024362025,0.01411505,0.030146593,0.037349442
04-Jan,0.014765425,0.033628408,NaN,0.058690863,0.023363117,0.015544209,0.026702665,0.040918904
05-Jan,0.008319166,0.035815284,NaN,0.046947174,0.023142841,0.014692651,0.023450061,0.033731809
06-Jan,0.010794399,0.031589916,NaN,0.046570556,0.021242318,0.016681904,0.022621379,0.032909378
07-Jan,0.006393223,0.026717107,NaN,0.047324492,0.018459189,0.017176288,0.020916669,0.028205999
08-Jan,0.006698598,0.03127159,NaN,0.045195661,0.013823482,0.017011045,0.017284785,0.029141684
09-Jan,0.00483705,0.028142686,NaN,0.048334072,0.015162232,0.018626825,0.024766059,0.024352114
10-Jan,0.005206188,0.022578131,NaN,0.044077885,0.01229413,0.012928562,0.02621229,0.025240775
11-Jan,0.006654771,0.021246124,NaN,0.046696017,0.016190174,0.015920944,0.031089983,0.024499439
12-Jan,0.00626337,0.024032108,NaN,0.04569452,0.01252239,0.009087221,0.039934551,0.021896355
13-Jan,0.005455735,0.026919387,NaN,0.046319868,0.012936401,0.006906377,0.031832876,0.024499439
14-Jan,0.007051601,0.021624196,NaN,0.044698073,0.012844052,0.011327402,0.029113936,0.024058413
15-Jan,0.009017667,0.02413001,NaN,0.044698073,0.014107236,0.011871119,0.019785441,0.027128136
16-Jan,0.010404007,0.024032108,NaN,0.046821557,0.014872258,0.012928562,0.007365284,0.023329713
17-Jan,0.010745417,0.025513175,NaN,0.032811108,0.014920471,0.009599076,0.022348173,0.024647078
18-Jan,0.012642079,0.024621321,NaN,0.025610038,0.014920471,0.010213956,0.021448423,0.024058413
19-Jan,0.008550541,0.02325324,NaN,0.031201109,0.014872258,0.013389373,0.019188206,0.023257282
20-Jan,0.003769406,0.023934326,NaN,0.03467371,0.01401246,0.009365445,0.012890983,0.022609003
21-Jan,0.003057349,0.02325324,NaN,0.026817973,0.015065388,0.010357355,0.008323114,0.019807552
22-Jan,0.003616653,0.020496062,NaN,0.02915909,0.014059824,0.010357355,0.006616725,0.025315339
23-Jan,0.006091204,0.018657073,NaN,0.028597589,0.011527514,0.010549418,0.01052592,0.018523506
24-Jan,0.006698598,0.017490152,NaN,0.034790908,0.010427381,0.010597587,0.008207664,0.021261928
25-Jan,0.006436644,0.018476069,NaN,0.02714963,0.01229413,0.006273258,0.009273072,0.018323566
26-Jan,0.007408762,0.010689261,NaN,0.028597589,0.013494622,0.003777774,0.013390072,0.013166099
27-Jan,0.007679297,0.010384217,NaN,0.028261904,0.010688399,0.007953708,0.021896193,0.021825537
28-Jan,0.007860898,0.012333608,NaN,0.035378264,0.010907378,0.010936478,0.005954506,0.022896324
29-Jan,0.007051601,0.013386432,NaN,0.037750129,0.010688399,0.006524465,0.006826868,0.018925691
30-Jan,0.005962815,0.014047123,NaN,0.034089097,0.011393768,0.003562676,0.008439298,0.022680712
31-Jan,0.005413956,0.013798237,NaN,0.026817973,0.008007164,0.006693455,0.010205936,0.029692487
01-Feb,0.00435493,0.011698829,NaN,0.015080781,0.01047075,0.008537878,0.00666898,0.024425737
02-Feb,0.005707966,0.011074294,NaN,0.022382931,0.010688399,0.006440424,0.00951785,0.01467416
03-Feb,0.004394654,0.011151793,NaN,0.027371257,0.012844052,0.005657503,0.013032699,0.014551389
04-Feb,0.003315638,0.016520754,NaN,0.017540204,0.010863476,0.007294279,0.006564658,0.023474816
05-Feb,0.001904528,0.013059716,NaN,0.020807999,0.007452307,0.010118668,0.007201805,0.021261928
06-Feb,0.002143567,0.013715575,NaN,0.022488865,0.006454172,0.012270981,0.010333389,0.022968355
07-Feb,0.004157582,0.007555886,NaN,0.019260175,0.008696657,0.004405807,0.010590457,0.01899302
08-Feb,0.002143567,0.010460227,NaN,0.021225376,0.009613697,0.004368125,0.015319092,0.013642354
09-Feb,0.002531437,0.007281534,NaN,0.020082241,0.007688645,0.007424886,0.013824725,0.010821466
10-Feb,0.002527939,0.011463416,NaN,0.02196036,0.006567139,0.009179702,0.011850679,0.012405089
11-Feb,0.001101712,0.004716375,NaN,0.020600033,0.006529418,0.009834306,0.014191762,0.008593945
12-Feb,0.002948166,0.007281534,NaN,0.018547454,0.007140643,0.00561709,0.000843164,0.017992047
13-Feb,0.003465385,0.008899913,NaN,0.018852145,0.008778884,0.004787528,0.004726264,0.012754326
14-Feb,0.004877752,0.011856572,NaN,0.017041506,0.007767913,0.004557432,0.004118777,0.014920797
15-Feb,0.00435493,0.01084278,NaN,0.018953963,0.009740857,0.005819963,0.002946647,0.017010459
16-Feb,0.003962388,0.01061275,NaN,0.010174018,0.010039493,0.003491765,0.009151773,0.01510673
17-Feb,0.003130648,0.007145513,NaN,0.018547454,0.007334968,0.001629809,0.005904886,0.01535591
18-Feb,0.003278443,0.009118119,NaN,0.02528285,0.003705225,0.00293918,0.006616725,0.013522728
19-Feb,0.004554381,0.007010271,NaN,0.022594913,0.010732088,0.003108997,0.004504938,0.010601551
20-Feb,0.002340779,0.007145513,NaN,0.016348971,0.007295978,0.003562676,0.004035108,0.010274695
21-Feb,0.001678634,0.001931093,NaN,0.022594913,0.00511057,0.006524465,0.002016088,0.011547174
22-Feb,0.002371739,0.004129891,NaN,0.016447497,0.00865563,0.006693455,0.005904886,0.014797296
23-Feb,0.00435493,0.003136114,NaN,0.011881411,0.009068489,0.004143949,0.005708299,0.010601551
24-Feb,0.004275736,0.004597206,NaN,0.010706548,0.006909523,0.004748959,0.007753224,0.011434441
25-Feb,0.003654703,0.008683313,NaN,0.020496231,0.006118811,0.009928842,0.008556216,0.007794213
26-Feb,0.003241346,0.010308374,NaN,0.021120852,0.005752529,0.009692978,0.0030558,0.009421013
27-Feb,0.003540831,0.005079348,NaN,0.015177489,0.005286609,0.002872004,0.008092949,0.010166552
