Month,Day,Year,Discharge (m3/s),Section Averaged SSC (mg/l),Sediment Flux (kg/s)
5,14,2005,2358.513125,44.50578261,136.3536003
5,14,2005,162.306063,34.23132039,6.465358095
5,14,2005,1068.997128,29.6769378,39.1510662
5,14,2005,1381.446697,26.33179204,44.57300599
5,14,2005,738.6896731,26.5152537,22.73826596
5,14,2005,482.4348003,25.93393103,17.11281492
5,14,2005,1354.654083,36.53807933,56.93218326
5,14,2005,953.2068755,37.68912827,42.89716034
5,14,2005,1243.92698,39.72312491,56.5486324
5,14,2005,3951.936022,38.87574266,178.8502005
5,14,2005,6714.919782,73.00870441,555.5242982
5,14,2005,7730.213097,127.6108874,1197.485596
5,15,2005,8250.432432,150.8879043,1549.368628
5,15,2005,8140.120845,135.9548569,1359.717349
5,15,2005,7937.748426,140.9770859,1405.219432
5,15,2005,7663.794155,132.5513198,1322.525382
5,15,2005,7107.920693,126.7132014,1106.131861
5,15,2005,4464.661441,103.0908108,606.943366
5,15,2005,1347.558917,50.22686715,88.16803404
5,15,2005,4334.421632,36.17334065,172.4295182
5,15,2005,5944.255151,54.12444682,384.6420612
5,15,2005,6414.181487,54.56774727,420.3338261
5,15,2005,6194.457178,63.44438761,493.9361095
5,15,2005,5061.329284,63.4289623,394.9142807
5,15,2005,3979.209782,54.68121983,269.336866
5,15,2005,2836.602347,46.44131827,158.4943326
5,15,2005,1546.870073,36.08138594,66.11723869
5,15,2005,634.1348146,31.78108085,23.29842152
5,15,2005,234.7508762,28.13159829,7.106211727
5,15,2005,381.0247649,33.01122539,14.29503061
5,15,2005,484.2680913,36.09699185,21.61634487
5,15,2005,289.8507989,41.08970732,14.59166621
5,15,2005,1768.349013,38.85565404,84.21783232
5,15,2005,3817.585325,40.37869033,184.9041273
5,15,2005,5853.821811,72.39575051,487.492639
5,15,2005,7140.830649,106.1307396,914.5455489
5,16,2005,7662.520991,123.0502757,1140.706849
5,16,2005,8086.723478,131.6203382,1285.225691
5,16,2005,7943.029922,134.9632961,1318.720499
5,16,2005,7735.944702,129.7150028,1229.283272
5,16,2005,7293.229945,129.8701822,1168.019279
5,16,2005,6246.476645,116.9564775,928.9849317
5,16,2005,2469.142,78.50069545,247.9924308
5,16,2005,2117.896413,39.69307538,106.8019367
5,16,2005,4431.799005,30.12778961,146.5299768
5,16,2005,6032.213567,44.22650972,333.2065214
5,16,2005,6390.225987,53.32383378,402.8191935
5,16,2005,6067.990426,60.33301935,447.8407984
5,16,2005,4996.67625,58.16281659,358.8007012
5,16,2005,3944.402796,52.88661762,262.3038862
5,16,2005,2565.346974,42.04459319,134.1230436
5,16,2005,964.3376321,34.61597006,37.68275822
5,16,2005,207.7096114,30.90202805,7.00950859
5,16,2005,466.4993434,7.590232198,0.408515639
5,16,2005,1974.749922,30.72812631,70.59836887
5,16,2005,1546.799641,30.56424243,57.61460413
5,16,2005,2367.201245,31.26846401,89.12236894
5,16,2005,3396.006478,33.89595802,139.2557553
5,17,2005,7094.303171,109.9101669,975.9412549
5,17,2005,6598.206498,104.5626438,843.9149138
5,17,2005,5181.068942,86.83946934,563.7420351
5,17,2005,1243.703349,64.73815178,101.1509158
1,13,2005,10399.19079,75.63603216,927.8800882
1,13,2005,10571.35989,74.14811961,938.7712451
1,13,2005,10066.20573,75.82264351,940.7367364
1,13,2005,7941.12214,71.1246647,696.9285648
1,13,2005,4754.570118,22.83590493,129.9019869
1,13,2005,5652.101927,26.32244653,169.8903221
1,13,2005,6406.145409,33.66508989,272.1314987
1,13,2005,6550.989453,32.9472849,270.7390406
1,13,2005,6651.770799,34.40776899,274.9504672
1,13,2005,6212.939282,36.2087994,273.3820266
1,13,2005,5701.8171,33.95295641,251.5775434
1,13,2005,4654.375595,31.98829889,193.1709084
1,13,2005,3549.741285,27.60945578,128.2523773
1,14,2005,1023.546651,28.1844774,37.54212856
1,14,2005,2410.651456,8.070863042,24.89343494
1,14,2005,4001.919452,5.721417967,24.21349478
1,14,2005,5092.244046,4.485158924,24.75571873
1,14,2005,5664.4252,5.533552565,34.53283075
1,14,2005,5897.880535,4.785831211,35.40983016
1,14,2005,5630.960006,4.174888706,27.67942454
1,14,2005,5137.379482,2.943090787,18.30933068
1,14,2005,3815.07802,1.789683534,8.605712178
1,14,2005,9859.983499,63.6455187,700.5916145
1,14,2005,9971.195228,69.52434724,820.599014
1,14,2005,10688.69266,75.42477789,939.4986705
1,14,2005,10111.30152,82.91361603,1003.608539
1,14,2005,9679.073261,83.43557084,986.5749822
1,14,2005,4259.967214,78.0860838,374.9637531
1,14,2005,3041.06413,36.32657369,144.2727176
1,15,2005,1257.329455,24.92870914,40.96735715
1,15,2005,3951.808841,24.09435345,122.5607879
1,15,2005,6146.53479,26.93334163,207.1180844
1,15,2005,6545.51214,43.49215316,319.7423235
1,15,2005,5301.361612,52.07726092,329.9845486
1,15,2005,1325.257637,45.56464383,74.18148247
1,15,2005,541.4604871,35.13028556,24.7616725
1,15,2005,2288.671607,22.49453404,65.82054534
1,15,2005,3223.679626,18.38369275,73.31102167
1,15,2005,3924.76145,16.18151153,76.90661522
1,15,2005,4101.907575,19.13619798,95.31680426
1,15,2005,3927.322949,19.49200113,99.3478833
1,15,2005,3265.104022,22.08071305,91.49119555
1,15,2005,2163.953534,20.34239688,57.99512962
1,15,2005,6293.454461,22.08793921,153.2647985
1,15,2005,8506.234271,49.46120195,446.6201259
1,15,2005,9073.388852,60.60629606,634.7471443
1,15,2005,9348.892696,66.02114971,706.2748497
1,15,2005,9560.804541,63.85846099,709.1852274
1,15,2005,9817.018283,66.04276446,771.3783274
1,15,2005,9885.61527,71.87342637,855.5876826
1,15,2005,10058.43595,65.77923912,796.7751769
1,15,2005,9905.816167,67.80848624,814.8232926
1,15,2005,9727.446202,67.94398413,800.0984864
1,15,2005,9065.151484,64.37845446,699.5461175
1,15,2005,8071.996499,63.14771929,627.4125751
1,15,2005,5254.455573,57.59079852,371.6487518
1,15,2005,3909.682101,30.08736194,148.5396463
1,15,2005,5167.015205,26.51055395,158.0710773
1,15,2005,5781.320885,32.49817406,227.962169
1,15,2005,6257.252604,38.23099843,295.8316547
1,15,2005,6237.095288,33.9891485,257.255277
1,15,2005,6236.243506,35.71429925,277.2404553
1,15,2005,5767.403589,38.50082774,282.0657741
1,15,2005,5147.579528,35.26993424,245.0393954
1,15,2005,3821.279741,34.42258144,171.772237
1,15,2005,683.1499165,27.97846294,25.4158988
1,16,2005,3681.976648,23.26028826,109.0675964
1,16,2005,6163.308835,25.40713422,194.3570637
1,16,2005,7252.039544,38.29653353,311.6327216
1,16,2005,7313.275705,45.97986206,394.8653933
1,16,2005,5309.636651,45.6620404,293.0388818
1,16,2005,1250.539532,36.00646432,58.5438853
1,16,2005,3208.974988,14.48165728,61.74572964
1,6,2006,9763.665106,141.6385505,1651.152023
1,6,2006,9903.900765,153.2324312,1902.650927
1,6,2006,9521.324265,156.3272913,1789.752842
1,6,2006,7005.867441,145.5804989,1260.995135
1,6,2006,2004.25874,86.29828213,216.0313648
1,6,2006,3502.398266,69.03482541,302.0182647
1,6,2006,4560.744428,55.76928315,286.308199
1,6,2006,5334.463487,64.4757779,404.3102752
1,6,2006,5753.937728,78.63782337,540.6320771
1,6,2006,5895.688133,84.92537279,629.4490795
1,6,2006,5635.689648,73.04912602,526.9444629
1,6,2006,4278.353384,80.14181468,456.1467965
1,7,2006,2937.488247,68.29104304,273.7050071
1,7,2006,1656.755148,59.84884755,129.5334398
1,7,2006,6197.353565,111.4720133,828.4463653
1,7,2006,3659.424125,106.4447811,495.8893176
1,7,2006,1011.814697,67.05805214,80.57871226
1,7,2006,846.9940917,32.17571584,20.6066736
1,7,2006,5573.114972,50.36306586,365.5334734
1,7,2006,7469.153639,68.59554474,513.4077521
1,7,2006,8345.047339,95.08978217,919.5153269
1,7,2006,8742.231621,109.3058735,1129.778729
1,7,2006,8333.57389,104.9410666,1080.07122
1,7,2006,7629.711301,107.8553527,1027.61795
1,7,2006,4375.434973,101.0389469,558.8237169
1,7,2006,958.243645,65.14166533,62.5591451
1,7,2006,2402.041518,51.06050187,150.986906
1,7,2006,3332.409588,41.49240636,163.8827025
1,7,2006,4282.849008,38.20083973,191.238949
1,7,2006,4911.040589,40.76712265,241.7584258
1,7,2006,5101.072081,48.87293768,319.7129705
1,7,2006,5064.808799,41.70509018,282.0347619
1,7,2006,4638.810266,52.29285135,314.8295204
1,7,2006,3990.911595,48.98081881,260.8811137
1,8,2006,3017.709157,46.16441788,176.6140817
1,8,2006,1603.412408,41.57560888,87.09673002
1,8,2006,9129.226678,115.5488391,1263.692999
1,8,2006,8793.600823,109.1709357,1163.157903
1,8,2006,7876.387555,101.26197,986.1116066
1,8,2006,5814.674913,94.16526046,685.988806
1,8,2006,2899.023721,93.73934411,366.8498379
1,8,2006,1380.244443,59.13705044,102.6886592
1,8,2006,1951.463779,23.80318748,65.43656743
1,8,2006,3758.541673,34.58280021,179.9779897
1,8,2006,5377.789611,44.7201727,295.5894442
1,8,2006,6573.544172,58.17426112,417.3033797
1,8,2006,6919.891935,77.17737493,612.243941
1,8,2006,6395.845306,94.78710442,719.6273071
1,8,2006,4964.164642,99.05020645,593.4893731
1,8,2006,2614.296105,85.99700528,269.9993882
1,8,2006,928.2405492,67.38863843,81.46163988
1,8,2006,971.9055651,51.55620515,50.42756368
1,8,2006,2105.975795,45.91054716,115.0918925
1,8,2006,3244.474086,36.05500859,133.1013902
1,8,2006,3640.386056,38.87505352,170.5774559
1,8,2006,4229.002228,38.86922223,188.7969154
1,8,2006,4197.175552,41.90931783,211.6766871
1,8,2006,4056.168659,42.99066975,216.9059409
1,9,2006,3536.892661,42.72667551,196.2224514
1,9,2006,2916.479728,40.51564833,147.0071277
1,9,2006,2450.602594,38.79808063,125.1198015
1,9,2006,9078.681147,118.2705105,1292.666719
1,9,2006,9530.444018,129.0730013,1483.429359
1,9,2006,9361.103071,134.9337846,1569.224409
1,9,2006,8681.845006,128.8379758,1375.369218
1,9,2006,7039.806522,121.2955797,1080.50693
1,9,2006,3994.526822,105.5610102,548.9800205
9,30,2008,13502.12467,157.9053963,2527.515461
9,30,2008,9442.760235,152.3130639,1801.609491
9,30,2008,5584.901237,135.6212741,1067.05023
9,30,2008,4565.981328,90.42844759,603.4700543
9,30,2008,5634.773743,64.33134708,539.026956
10,1,2008,4605.55653,85.42852773,556.5115732
10,1,2008,9335.7684,69.86662986,863.1099095
10,1,2008,12012.78298,85.89782252,1233.713405
10,1,2008,13352.46779,99.25908835,1547.511315
10,1,2008,14730.78709,107.9085169,1927.502257
10,1,2008,14804.90665,123.4669364,2193.513765
10,1,2008,15349.88449,142.431699,2561.307379
10,1,2008,15391.22032,146.1621173,2647.731849
10,1,2008,15245.84696,159.6077543,2963.928932
10,1,2008,7677.606074,115.8979205,1202.123248
10,1,2008,4109.57191,63.36856858,408.8997304
10,1,2008,3536.089246,33.85494477,172.1738869
10,1,2008,5646.759655,30.82294912,245.4719006
10,1,2008,9638.321323,31.64387788,384.1027273
10,1,2008,12214.81709,51.1586546,746.3300414
10,1,2008,13167.43516,54.72348729,842.9373342
10,2,2008,4963.984349,124.5157633,901.0171389
10,2,2008,5422.986444,110.9005862,800.5032446
10,2,2008,8417.773015,88.78707957,1007.787139
10,2,2008,11320.68029,101.4029189,1350.971721
10,2,2008,14508.11465,126.7772509,2154.309736
10,2,2008,15217.41876,149.95799,2714.675163
10,2,2008,14836.11626,172.2066877,3063.858612
10,2,2008,15531.06042,191.0904354,3543.800842
10,2,2008,14380.61924,186.9275421,3206.08649
10,2,2008,13946.40457,204.2953524,3343.957363
10,2,2008,11146.17053,174.6769399,2490.356894
10,2,2008,5866.451105,139.7497682,1178.576809
10,2,2008,4433.852451,113.5639277,740.365383
10,2,2008,4740.008778,86.3022586,556.3106243
10,2,2008,7524.92973,82.29185079,821.6909659
10,2,2008,12394.87691,119.464299,1753.59459
10,3,2008,6972.774995,152.9311345,1420.314107
10,3,2008,6410.852731,117.3615788,998.4237599
10,3,2008,7933.795646,95.73901001,1038.038396
10,3,2008,10644.5739,98.0836828,1281.199572
10,3,2008,14228.19932,118.5609108,1998.62137
10,3,2008,14733.64509,136.1763568,2371.652684
10,3,2008,15674.95163,167.4106262,3177.421603
10,3,2008,15298.56264,185.0144568,3405.537894
1,12,2009,7022.655972,39.25799844,334.8291555
1,12,2009,9862.440687,64.4743278,690.9751216
1,12,2009,11186.89412,73.46279535,955.347011
1,12,2009,12258.61954,112.278642,1700.733419
1,12,2009,11955.54725,125.7316094,1845.620666
1,12,2009,11293.93036,124.7122549,1694.673911
1,12,2009,2307.274881,114.3581535,347.1848348
1,12,2009,3140.061574,57.79368023,258.2210409
1,12,2009,5848.870422,33.21026734,229.2623124
1,12,2009,6960.792392,42.86619861,385.0061901
1,12,2009,6232.385126,51.01742466,394.1441415
1,12,2009,3742.805766,42.10736971,219.0820143
1,13,2009,915.969203,50.5747311,60.78586581
1,13,2009,3947.196434,26.45509495,136.6845759
1,13,2009,4846.93168,23.91009141,144.8699301
1,13,2009,3354.571093,27.29231332,123.924018
1,13,2009,981.4003787,26.05550608,34.1032142
1,13,2009,6471.95409,32.52558788,261.6541546
1,13,2009,9644.671144,59.88236331,600.1294306
1,13,2009,11407.15121,77.0641046,1019.766116
1,13,2009,12227.07773,91.88371175,1365.495211
1,13,2009,12359.12425,115.4481216,1732.365222
1,13,2009,11686.41701,118.467644,1716.119204
1,13,2009,10482.39964,116.3964408,1504.102187
1,13,2009,3906.468623,44.15006363,233.2180931
1,13,2009,6071.765877,30.8660478,215.0947881
1,13,2009,6691.911923,34.03660455,282.0279432
1,13,2009,5230.566854,49.90201271,326.1920226
1,13,2009,2715.369149,39.78056557,152.9873473
1,14,2009,1781.651291,45.78297437,106.9189184
1,14,2009,4206.339268,30.03123438,156.9282792
1,14,2009,4841.263211,27.62333619,170.9137441
1,14,2009,1825.728449,24.22937805,65.60595249
1,14,2009,6976.10424,39.36513137,323.3095839
1,14,2009,9695.681836,58.7211341,589.2491114
1,14,2009,11353.31562,76.10432409,991.3063657
1,14,2009,12228.21855,84.5461111,1240.472989
1,14,2009,12113.96286,70.73337981,1057.553232
1,14,2009,12184.34694,77.21452862,1120.801952
1,14,2009,11546.32708,77.47237053,1088.419118
1,14,2009,7831.110377,70.91759625,691.7371689
1,14,2009,1228.072442,50.48920733,71.20969485
1,14,2009,4818.323277,24.42598157,148.2729998
1,14,2009,6151.868646,21.03343318,159.4162297
1,14,2009,6204.197819,22.58431614,176.6999599
1,14,2009,4444.405673,2.317626502,13.22111241
1,15,2009,1708.778277,47.73116939,104.184172
1,15,2009,4467.994778,27.25943596,159.6184017
1,15,2009,2336.066822,27.71371572,91.90701398
1,15,2009,3284.461512,20.67041397,91.26223097
1,15,2009,8058.861484,42.87563228,393.6107018
1,15,2009,10252.99059,75.86166426,891.2786617
1,15,2009,11108.76327,81.97702476,1079.12494
1,15,2009,12134.3719,91.3313615,1342.341998
1,15,2009,12025.51617,110.5063577,1640.383034
1,15,2009,11685.90321,110.3581363,1582.537024
1,15,2009,10372.08512,110.6054931,1428.526615
1,15,2009,3004.492425,98.88054806,423.3735994
1,15,2009,3120.199115,57.56502605,243.780657
4,18,2009,7365.336742,64.56727291,626.132495
4,18,2009,4547.000374,62.58982443,375.1697657
4,18,2009,4667.199383,16.40774716,80.24222029
4,18,2009,2954.306564,13.50760355,48.24389216
4,18,2009,3660.93862,20.61669569,90.51973157
4,18,2009,3868.502703,19.54335899,87.57159566
4,19,2009,7593.53661,46.67555074,438.3377896
4,19,2009,7544.598529,54.48004636,511.3988572
4,19,2009,6723.363939,58.74238206,481.8827765
4,19,2009,5015.058154,58.70608179,373.0523571
4,19,2009,6748.971522,29.57250479,214.2566592
4,19,2009,6659.289549,27.93676389,218.1238415
4,19,2009,4119.738726,34.59239015,175.328227
4,19,2009,1951.180525,26.19780183,70.29342902
4,19,2009,2849.920947,22.47412043,79.26083778
