Date,2005,2006,2007,2008,2009,2010,2011,2012
01-Jan,0.035575565,0.043487587,0.022223998,0.126564431,0.077983982,0.048058476,0.021015805,0.071368313
02-Jan,0.034773323,0.04223569,0.021979801,0.124461815,0.072500642,0.047227501,0.021015805,0.032385908
03-Jan,0.034773323,0.04151373,0.0205846,0.122600543,0.069602733,0.046814032,0.020268468,0.032329124
04-Jan,0.033419792,0.041103932,0.02087029,0.121311291,0.068549091,0.046917272,0.019580711,0.030366602
05-Jan,0.030368231,0.041001795,0.019457476,0.120688923,0.067801114,0.048685228,0.018423815,0.030532911
06-Jan,0.027364859,0.040594499,0.01992406,0.119299754,0.063249831,0.047124007,0.017481288,0.029869834
07-Jan,0.024903835,0.037995871,0.019041297,0.118400923,0.060110163,0.048789979,0.016240354,0.027808283
08-Jan,0.024141313,0.037018934,0.018674354,0.118530052,0.057597273,0.045991146,0.016787387,0.028886045
09-Jan,0.022652593,0.035863145,0.019830394,0.121249303,0.058707889,0.042554702,0.015924593,0.028345139
10-Jan,0.021926378,0.034819526,0.019318355,0.122600543,0.0589871,0.038832369,0.016695714,0.026904972
11-Jan,0.021657163,0.033976941,0.018995275,0.122234589,0.055541749,0.039218226,0.015700564,0.028345139
12-Jan,0.020510193,0.035102645,0.017679881,0.12192817,0.054056688,0.03533083,0.016195095,0.026641541
13-Jan,0.020163692,0.0373107,0.017679881,0.120249931,0.051798824,0.032043133,0.0154334,0.02611776
14-Jan,0.019058385,0.03407006,0.015927376,0.118271549,0.051274143,0.035237904,0.014168015,0.024520302
15-Jan,0.019058385,0.035102645,0.015543082,0.121311291,0.049457536,0.034405661,0.013237038,0.025753563
16-Jan,0.019395089,0.035672268,0.014289083,0.118594526,0.050232312,0.032944418,0.012209932,0.025391392
17-Jan,0.019479736,0.036535162,0.01491087,0.116500426,0.049328957,0.032402535,0.013028978,0.024877529
18-Jan,0.021212248,0.035102645,0.011908112,0.113925665,0.045916843,0.031417766,0.013153656,0.022371028
19-Jan,0.018891162,0.032140912,0.013236294,0.112740431,0.047041446,0.032132844,0.013362503,0.021785213
20-Jan,0.01662903,0.03088557,0.01335614,0.113440228,0.040486102,0.031151153,0.012412706,0.020537136
21-Jan,0.015103337,0.030267131,0.013961759,0.11238769,0.039902533,0.032132844,0.011099151,0.02072725
22-Jan,0.015933187,0.027602375,0.01319644,0.110884769,0.038518223,0.032132844,0.010751122,0.019877205
23-Jan,0.015780618,0.027183897,0.014125046,0.111676388,0.036596475,0.030180803,0.010905257,0.019503938
24-Jan,0.015327411,0.025058558,0.014869092,0.112670036,0.034503407,0.029308586,0.011333618,0.019550443
25-Jan,0.016473085,0.025058558,0.014165985,0.111676388,0.030082775,0.027762638,0.010521563,0.019318355
26-Jan,0.015327411,0.025299444,0.014125046,0.111317771,0.028078021,0.024035648,0.010674383,0.018765825
27-Jan,0.014008242,0.022865019,0.013597113,0.10837373,0.027100033,0.023794313,0.009881913,0.019087364
28-Jan,0.013652563,0.022941657,0.012331734,0.107995855,0.028573119,0.025998605,0.008232341,0.019364685
29-Jan,0.013936733,0.021358782,0.011190267,0.107539357,0.027586991,0.025584953,0.00775434,0.019970959
30-Jan,0.012410787,0.021284796,0.011490366,0.105678839,0.027684872,0.022443899,0.008336247,0.020064887
31-Jan,0.011878289,0.021655988,0.011984698,0.103188208,0.025569181,0.023794313,0.008510576,0.020064887
01-Feb,0.009927385,0.020916764,0.01085642,0.100845364,0.023532686,0.025091826,0.007788105,0.019830394
02-Feb,0.010352297,0.020262269,0.010563034,0.10160866,0.023532686,0.027592789,0.008475595,0.018039017
03-Feb,0.009807652,0.020334485,0.011004303,0.100674376,0.025005903,0.027762638,0.007586395,0.016970207
04-Feb,0.008318593,0.020334485,0.009526366,0.10118584,0.020627315,0.02750801,0.007189327,0.015970304
05-Feb,0.008651113,0.019547065,0.008700761,0.104002965,0.016801388,0.026917268,0.00806032,0.015927376
06-Feb,0.008263821,0.018844515,0.008972671,0.103921987,0.015808407,0.025667487,0.007386798,0.014785675
07-Feb,0.007885586,0.017343477,0.008432169,0.102528277,0.014917075,0.023955102,0.007552982,0.013758707
08-Feb,0.006706472,0.017544553,0.009109865,0.102776613,0.017982373,0.019309221,0.00806032,0.012997884
09-Feb,0.006129947,0.016812853,0.008870317,0.10211205,0.016035034,0.02189639,0.008128955,0.011908112
10-Feb,0.00598995,0.017814429,0.008432169,0.101015851,0.014552867,0.02347394,0.007320738,0.012254277
11-Feb,0.006904533,0.015458593,0.008499005,0.102941594,0.01528551,0.022838039,0.007519627,0.01272191
12-Feb,0.007360945,0.016032137,0.007518559,0.101692859,0.016646773,0.021199845,0.005598364,0.011831719
13-Feb,0.008100612,0.015775959,0.007359796,0.101439899,0.018223088,0.018061361,0.005189692,0.01319644
14-Feb,0.008046578,0.016747096,0.007139786,0.101270649,0.016569717,0.016986187,0.00513232,0.01280052
15-Feb,0.007620959,0.016747096,0.007233753,0.099112275,0.016878947,0.015728573,0.004627492,0.012565263
16-Feb,0.006854742,0.016681465,0.006799413,0.095102094,0.017743162,0.016283083,0.004877304,0.011869891
17-Feb,0.007620959,0.015585159,0.005674868,0.097686975,0.016569717,0.013193534,0.005276224,0.010345085
