Month,Day,Year,Discharge (m3/s),Section Averaged SSC (mg/l),Sediment Flux (kg/s)
1,11,2005,5984.568482,31.03465101,167.6329252
1,11,2005,6197.698422,32.31715099,191.3214849
1,11,2005,6008.104576,34.70821687,205.6626025
1,11,2005,5884.353063,35.9449303,206.4568717
1,11,2005,4746.283836,35.54538852,164.8522094
1,12,2005,4482.753056,31.30787208,132.5497257
1,12,2005,2874.226866,30.37851803,81.04969626
1,12,2005,1769.415544,22.6821555,40.21576138
1,12,2005,5131.42315,21.65780175,89.12872976
1,12,2005,5540.693155,27.12347906,125.1790974
1,12,2005,5790.633345,31.32041766,154.347677
1,12,2005,5983.290941,32.10684271,164.9153358
1,12,2005,6018.955194,33.34169316,181.9875864
1,12,2005,6227.315174,34.43028291,201.2888974
1,12,2005,6232.262609,36.68662143,217.8578885
1,12,2005,5981.800523,36.04226851,214.5326572
1,12,2005,4215.559655,35.0130269,149.543519
1,13,2005,4980.261885,29.91901705,140.2890666
1,13,2005,4293.317164,33.94669236,139.3242894
1,13,2005,2673.41631,31.59929627,82.74330477
1,13,2005,1498.913436,26.69498874,39.64573739
1,13,2005,1340.294944,23.21236918,22.67754106
1,13,2005,1981.169305,15.76858533,24.88585654
1,13,2005,3717.841687,13.95194719,44.84496822
1,13,2005,4842.410781,16.2859141,63.79230019
1,13,2005,5265.042989,20.4496123,81.64957542
1,13,2005,5286.572058,21.03640672,90.67018117
1,13,2005,5382.811943,23.0367708,103.0354557
1,13,2005,5640.852748,24.26456194,116.1976318
1,13,2005,5644.061898,26.86766389,127.1538458
1,13,2005,5599.533855,13.22756067,53.12546427
1,13,2005,5851.466379,28.7624948,147.6279856
1,13,2005,5931.168167,31.86080285,169.5172653
1,13,2005,5907.260907,34.21314003,176.82236
4,20,2005,3090.323644,17.63217319,43.49509799
4,21,2005,3438.309146,19.83162715,62.34292216
4,21,2005,3651.171287,22.8791469,78.54766673
4,21,2005,3368.793667,23.52821456,81.91099527
4,21,2005,2368.95115,25.95758355,60.18533283
4,21,2005,701.5163386,22.18451662,15.2519843
4,21,2005,214.9814797,13.98799949,3.277707727
4,21,2005,1436.013857,9.233648982,13.07213601
4,21,2005,2885.983189,9.530229443,24.51355041
4,21,2005,3766.630565,11.85116366,33.09198697
4,21,2005,3906.628165,15.06980264,55.1169164
4,21,2005,4109.851522,18.06932007,69.18988656
4,21,2005,4328.753207,22.88692394,84.35933582
4,21,2005,4361.006892,25.22868146,90.30865099
4,21,2005,3981.982652,25.32489672,83.26792829
4,21,2005,1231.186407,22.23934429,22.66519052
4,21,2005,991.0979446,16.09971832,15.82593162
4,21,2005,1798.577552,15.89826087,27.57023845
4,21,2005,2157.582586,28.4224949,51.70348825
4,21,2005,1955.810184,19.34759456,32.08724107
4,21,2005,1236.421491,18.98233454,20.92439962
4,21,2005,734.6540083,18.38068735,11.2898479
4,21,2005,2621.585502,14.90704707,33.43423366
4,21,2005,3488.751401,22.1364745,55.18041258
4,22,2005,3742.215092,22.40375839,80.40626671
4,22,2005,3915.941124,23.48962797,90.56611984
4,22,2005,3957.582345,23.74250258,92.73701932
4,22,2005,3326.902174,24.70620473,85.65285835
4,22,2005,897.5540813,24.85114021,23.46390411
4,22,2005,596.9389427,18.12667848,10.09652093
4,22,2005,990.5756125,16.76870951,17.49088767
4,22,2005,674.0347972,13.73526925,9.221716743
4,22,2005,988.2954011,10.41841242,10.57544236
4,22,2005,2992.20476,9.504152692,18.50818317
4,22,2005,3884.289975,12.40090013,44.48078664
4,22,2005,4136.519447,19.02364497,67.98153554
4,22,2005,4285.827039,21.0490206,81.96027909
4,22,2005,4345.706008,25.66697289,92.53306807
4,22,2005,4498.439323,26.31818937,95.51751893
4,22,2005,3803.548648,26.75838523,84.45325566
4,22,2005,1428.593925,15.40206307,21.5383018
4,22,2005,2014.100242,24.66269492,45.17040155
4,22,2005,1915.651096,23.01929894,38.0450981
4,22,2005,1236.085607,19.23383497,21.15155197
4,22,2005,917.9724047,17.15986298,13.55622946
4,22,2005,2885.446271,18.00369088,42.15071869
4,22,2005,3781.970472,20.93214516,57.14357147
4,23,2005,3841.938764,25.5431836,92.68767446
4,23,2005,4080.918982,27.82126277,112.9727675
4,23,2005,4255.200286,24.6232157,106.7818704
4,23,2005,4198.359674,28.72823396,121.1254888
4,23,2005,2440.645803,29.32875993,73.44988399
4,23,2005,266.0418689,24.336486,5.069848705
4,23,2005,1281.533979,20.0809222,24.71486839
4,23,2005,1540.164133,18.19533734,27.04484137
4,23,2005,963.0782509,13.95410819,12.76239165
4,19,2005,4122.164286,27.24458768,102.8042007
4,19,2005,4343.032597,32.57622988,128.5290331
4,19,2005,4370.350334,30.36027511,118.5724446
4,19,2005,4112.733474,31.93329707,114.8017406
4,19,2005,2161.52929,30.80911998,59.43925567
4,19,2005,1142.105264,13.92137407,15.80136673
4,19,2005,1744.167273,16.84119975,27.43561415
4,19,2005,2003.244951,17.54820836,27.8137283
4,19,2005,1918.45032,16.515099,27.35654533
4,19,2005,1383.715041,19.23250586,24.7070389
4,19,2005,507.9867149,18.70264081,8.735958599
4,19,2005,1162.431647,16.6342882,17.06996192
4,19,2005,2398.250374,16.14945771,31.58953231
4,19,2005,2966.592799,17.73351373,44.49874714
4,20,2005,3353.732726,21.55917785,65.24928055
4,20,2005,3309.644108,26.00348563,85.59405831
4,20,2005,3187.815311,24.48214291,77.76507688
4,20,2005,2675.955105,30.51462814,76.41112913
4,20,2005,2173.636247,27.20131596,54.63147206
4,20,2005,2286.601911,18.88753334,41.76782763
4,20,2005,2651.274833,17.45581228,44.7273259
4,20,2005,3191.961801,16.46698574,49.62341739
4,20,2005,3532.344583,15.67797692,52.15109924
4,20,2005,3893.921514,17.04643899,64.41762415
4,20,2005,4089.55625,22.26071329,77.61725741
4,20,2005,4309.300831,24.64582551,92.1562296
4,20,2005,4361.417778,28.64341158,109.0093701
4,20,2005,4136.425022,30.98036499,109.2390213
4,20,2005,1848.763069,25.5550961,42.90019731
4,20,2005,595.0458537,16.96036883,8.151814698
4,20,2005,1526.805845,14.36934189,22.62169482
4,20,2005,2243.373329,17.02520081,31.76069851
4,20,2005,2260.563857,20.97320239,39.50254192
4,20,2005,2024.055961,25.22109138,47.51493417
4,20,2005,1041.11488,22.98838364,21.53153097
4,20,2005,820.6530664,20.1424899,13.31387854
4,20,2005,2396.456403,17.6887018,38.7974123
7,30,2005,9813.252186,142.9916385,1319.043375
7,30,2005,10828.29152,166.665443,1720.242753
7,31,2005,9993.054363,160.9748139,1611.878497
7,9,2005,9848.923419,238.4974779,2390.462662
7,9,2005,10785.68049,219.9644495,2295.870516
7,9,2005,10871.04652,220.9973351,2335.658923
7,9,2005,10387.81795,252.0417123,2596.107518
7,9,2005,10586.84171,225.1583319,2333.586269
7,9,2005,10036.10408,228.429289,2261.868012
7,9,2005,10305.32648,240.8410331,2467.895531
7,9,2005,10370.94733,234.3261423,2367.18014
7,9,2005,10390.12873,232.061374,2320.454282
7,9,2005,10457.29814,238.4794917,2476.162276
7,10,2005,10752.50239,237.0719923,2525.532987
7,10,2005,10960.69658,235.6636469,2519.212032
7,10,2005,11353.05999,233.7198598,2663.690434
7,10,2005,11308.48521,240.6576801,2697.092045
7,10,2005,10708.40358,235.4270385,2542.798
7,10,2005,10350.00281,234.5050066,2232.249279
7,10,2005,9827.936146,210.6454868,1947.878015
7,10,2005,10031.71121,184.582747,1701.957638
7,10,2005,10539.62522,223.7202928,2142.996656
7,10,2005,10473.53904,226.1907362,2309.668074
7,10,2005,10505.71922,231.9466083,2231.182252
7,10,2005,10877.80954,208.6616345,2166.55426
7,10,2005,10335.88276,203.8249889,1986.942292
7,10,2005,10943.60883,202.7180467,2125.295446
7,10,2005,10906.81293,190.3016125,2012.36532
7,10,2005,10403.61515,198.2178595,2010.965675
7,10,2005,10246.97917,191.4734077,1873.777201
7,10,2005,10123.20721,164.8200617,1554.997731
7,11,2005,10664.54922,160.7405044,1614.01309
7,11,2005,10060.90654,167.4435488,1581.114141
7,11,2005,11279.87726,165.6285901,1738.210412
7,11,2005,10091.97536,172.5688745,1630.450826
7,11,2005,10692.82307,168.9241832,1707.284276
7,11,2005,9828.896854,159.513859,1482.610846
7,11,2005,9990.485866,158.5887302,1481.813639
8,2,2005,10856.90474,189.8124798,1926.579512
8,2,2005,11872.98564,193.7516079,2137.45057
8,3,2005,7633.670744,173.2301261,1337.898128
8,3,2005,8665.382676,183.2911254,1556.891885
8,5,2005,12197.58589,174.0729586,2081.058222
8,5,2005,6918.735219,173.5691173,1187.036924
8,8,2005,10530.98394,183.6298471,1863.357553
8,8,2005,12787.22195,179.4778629,2246.122729
8,9,2005,12619.37553,191.3504141,2283.325217
8,10,2005,8632.565552,286.8706995,2279.475304
8,10,2005,10071.31481,283.8217682,2642.002822
8,11,2005,7935.76645,262.6430921,1983.063658
8,12,2005,12494.33496,274.9686761,3184.887007
8,14,2005,11355.82781,281.1782304,2875.014744
8,16,2005,14112.32686,250.3651988,3245.028381
8,17,2005,13076.42835,272.2162522,3099.523836
8,19,2005,8807.606715,282.0737094,2197.176823
8,20,2005,13874.92862,288.788591,3641.852473
8,21,2005,11283.06313,289.9671216,2770.7728
8,22,2005,11821.49112,292.1689322,2996.857645
8,24,2005,14625.73756,278.9286707,3637.049632
8,25,2005,13543.82016,269.9868045,3265.482774
8,26,2005,10115.54079,264.8607544,2362.95357
8,28,2005,13076.42001,254.5217327,2996.307158
