Station,River,Province,The distance between river and station (km),01/01 - 10/01,11/01 - 20/01,21/01 - 31/01,01/02 - 10/02,11/02 - 20/02,21/02 - 28/02,01/03 - 10/03,11/03 - 20/03,21/03 - 31/03,Year
Cau Noi ,Vam co ,Long An ,20,12.5,12,12,15.6,14.2,11.9,9.7,9.4,9.4,2021
Ben Luc ,Vam Co Dong ,Long An ,67,1.2,1.6,1.6,3.9,3.6,2.4,3.4,6.2,6.9,2021
Xuan Khanh ,Vam Co Dong ,Long An ,95,0.1,0.1,0.1,0.6,0.8,0.7,1.1,1.7,2.1,2021
Tan An ,Vam Co Tay ,Long An ,80,0.2,0.3,0.3,2,1.8,1.2,3.5,6.1,7.4,2021
Tuyen Nhon ,Vam Co Tay ,Long An ,120,- ,-,- ,- ,- ,- ,0.3,0.4,0.6,2021
Vam Kenh ,Cua Tieu ,Tien Giang ,2,19.2,16.2,16.2,22,21.5,19,24.1,25.2,25.4,2021
Hoa Binh ,Cua Tieu ,Tien Giang ,18,5.9,4.2,4.2,10.5,8.4,7.5,12.4,16.6,16.6,2021
An Dinh ,Tien ,Tien Giang ,48,-,-,- ,2.4,0.7,1.8,2.5,3.5,4.8,2021
My Tho ,Tien ,Tien Giang ,55,-,-,- ,1.5,0.7,0.7,1.8,2.6,3.5,2021
Dong Tam ,Tien ,Tien Giang ,63,-,-,- ,0.3,0.3,0.3,0.8,1.2,1.2,2021
Binh Dai ,Cua Dai ,Ben Tre ,4,19.4,20.1,20.1,22.8,22.1,22,23.5,27.5,27.2,2021
Loc Thuan ,Cua Dai ,Ben Tre ,18,5.7,7.3,7.3,11.7,8.3,9.8,13.7,13.5,13,2021
An Thuan ,Ham Luong ,Ben Tre ,10,21.9,23.3,23.3,25.4,24.4,23.9,27.1,30,29.8,2021
Son Doc ,Ham Luong ,Ben Tre ,20,8.6,7.9,7.9,12,13,13.2,13.8,15.7,16.1,2021
Ben Trai,Co Chien (cua Co Chien),Ben Tre ,10,13.6,13.8,13.8,15.6,14.8,15.1,16.2,17.8,13.9,2021
Huong My,Co Chien (cua Co Chien),Ben Tre ,25,3.2,7,7,8,6.8,11.2,10.4,10.7,7.2,2021
Hung My,Co Chien (cua Cung Hau),Tra Vinh,17,10.5,14.3,14.3,11.7,10.8,13.8,14.2,11.4,13.2,2021
Cau Quan,Hau (cua Dinh An),Tra Vinh,32,1.8,7.8,7.8,8.3,8.2,12.4,12.5,9,9.5,2021
Tra Vinh,Co Chien (cua Cung Hau),Tra Vinh,28,2.9,6.5,6.5,7,5.9,10.3,8.2,6.9,7.9,
Tra Kha,Hau (cua Dinh An),Tra Vinh,7,8,15.5,15.5,16.9,16.9,16.6,17.8,18.6,18.2,
Long Phu,Hau (cua Tran De),Soc Trang ,15,9.4,12.3,12.3,14.9,14.1,14,17.1,17.8,17.1,2021
Dai Ngai,Hau (cua Tranh De),Soc Trang ,30,2.5,6,6,6,6.7,8.9,9.4,7.9,7.8,
Tran De,Hau,Soc Trang ,10,13.4,17,17,18.6,17.6,16.8,20.6,23.2,22.8,
Thanh Phu ,K. Nhu Gia ,Soc Trang ,Nội đồng ,0.3,0.4,0.4,2.3,3.2,3.7,5.7,6.8,8.3,2021
Soc Trang ,K. Maspero ,Soc Trang ,Nội đồng ,1.4,0.9,0.9,1.8,2.2,3,3.5,3.5,3.5,2021
Ganh Hao ,Ganh Hao ,Bac Lieu ,Nội đồng ,20.4,30.4,30.4,25.7,26.1,22.7,27.3,25.7,27.8,2021
Song Doc ,Song Doc ,Ca Mau ,- ,29.4,28.5,28.5,29.8,34.7,30.3,31.4,31.9,34,2021
Xeo Ro ,Cai Lon ,Kien Giang ,7,11.9,11,11,21.6,10.9,16.9,0.6,1,0.6,2021
Go Quao ,Cai Lon ,Kien Giang ,35,2.1,2.2,2.2,5.7,2.3,5.2,4.2,9.1,12.4,2021
An Ninh ,Cai Be ,Kien Giang ,8,6.8,6.2,6.2,13.1,2.2,10.2,12.1,16.3,18.6,2021
Cau Noi ,Vam Co,Long An ,20,3.9,4.8,5.5,6.8,,3.2,4.2,5.8,,2022
Ben Luc ,Vam Co Dong ,Long An ,67,0.6,0.8,1,3.2,,1.2,1.7,1.4,,2022
Xuan Khanh ,Vam Co Dong ,Long An ,95,0.1,0.1,0.1,0.5,,0.3,0.2,0.1,,2022
Tan An ,Vam Co Tay ,Long An ,80,0.2,0.3,0.3,1.7,,0.7,0.6,0.7,,2022
Tuyen Nhon ,Cua Tieu ,Tien Giang ,-,-,-,-,-,,-,-,-,,2022
Vam Kenh ,Cua Tieu ,Tien Giang ,2,16.6,16,17.4,23,,23.6,23.2,21.1,,2022
Hoa Binh ,Tien ,Tien Giang ,18,1.6,2.9,6.1,9.2,,8.6,7.8,8.1,,2022
An Dinh ,Cua Dai ,Ben Tre ,48,0.5,0.5,0.5,1.6,,1.3,2,2.2,,2022
My Tho ,Cua Dai ,Ben Tre ,-,-,-,-,-,,-,-,-,,2022
Dong Tam ,Ham Luong ,Ben Tre ,-,-,-,-,-,,-,-,-,,2022
Binh Dai ,Ham Luong ,Ben Tre ,4,18.6,21.2,19.9,24.9,,23.7,23.4,21,,2022
Loc Thuan ,Co Chien (cua Co Chien),Ben Tre ,18,5.5,5,10.6,9.6,,13,11.2,13.2,,2022
An Thuan ,Co Chien (cua Co Chien),Ben Tre ,10,23.8,20.3,20,24.5,,29.5,27.8,24.2,,2022
Son Doc ,Ham Luong ,Ben Tre ,20,8.9,8.3,8.4,10.9,,20,18.7,14.5,,2022
Ben Trai,Co Chien (cua Co Chien),Ben Tre ,10,18.8,19.4,16.1,20.6,,24.6,23.6,21.5,,2022
Huong My,Co Chien (cua Co Chien),Ben Tre ,25,3.8,4.8,4.8,4.1,,11,9.1,10.7,,2022
Hung My,Co Chien (cua Cung Hau),Tra Vinh,17,7.9,8.7,8.8,10.7,,14.2,11.6,12.9,,2022
Cau Quan,Hau (cua Dinh An),Tra Vinh,32,4.5,6,5.5,4.2,,10.8,9.8,8.8,,2022
Tra Vinh,Co Chien (cua Cung Hau),Tra Vinh,28,2.5,4.5,3.8,3.6,,9.2,9,9.3,,2022
Tra Kha,Hau (cua Dinh An),Tra Vinh,7,11.8,14.4,14.2,13.4,,16.7,17.8,15.3,,2022
Long Phu,Hau (cua Tran De),Soc Trang ,15,11.2,10.7,11.9,12.3,,13.8,16.2,11.6,,2022
Dai Ngai,Hau (cua Tranh De),Soc Trang ,30,1.7,3.2,3.1,3.6,,6.8,7,6.3,,2022
Tran De,Hau,Soc Trang ,10,15.3,16.3,17.2,16.6,,18.4,19.6,15.6,,2022
Thanh Phu ,K. Nhu Gia ,Soc Trang ,Interior field,0.3,0.7,1.2,2.1,,2.7,2.3,2,,2022
Soc Trang ,K. Maspero ,Soc Trang ,Interior field,0.4,1.4,1,2.5,,2.5,2.2,2.7,,2022
Ganh Hao ,Ganh Hao ,Bac Lieu ,Interior field,27.9,23.5,25.5,26.8,,26.4,26.3,24.3,,2022
Song Doc ,Song Doc ,Ca Mau ,0,31,30.5,31,32.7,,33.4,33.5,33.6,,2022
Xeo Ro ,Cai Lon ,Kien Giang ,7,0.4,0.4,0.6,0.5,,0.4,0.4,0.4,,2022
Go Quao ,Cai Lon ,Kien Giang ,35,0.4,3.5,6.6,9.5,,8.3,3.6,3,,2022
An Ninh ,Cai Be ,Kien Giang ,8,5.7,9,12.1,22.4,,17.6,3.2,8.3,,2022
